case_id,case_group,evaluation_type,loss_function,environment,policy_name,rule_family,source_env,training_env,policy_parameterization,algo,source_file,result_metric,result_value,secondary_metric,secondary_value,comparison_metric,comparison_value,solver_status
case_0001,empirical_unified,cross_transfer,artificial,ann,linear_policy_search_transfer,benchmark_transfer,benchmark,benchmark,fixed_rule,,outputs\phase10\counterfactual_eval\cross_transfer_summary.csv,mean_discounted_loss,179.94373171882515,std_discounted_loss,21.00061477065002,,,
case_0002,empirical_unified,cross_transfer,artificial,ann,ppo_benchmark_transfer,benchmark_transfer,benchmark,benchmark,linear_surrogate,ppo,outputs\phase10\counterfactual_eval\cross_transfer_summary.csv,mean_discounted_loss,327.1501115920626,std_discounted_loss,34.66168801330503,,,
case_0003,empirical_unified,cross_transfer,artificial,ann,sac_benchmark_transfer,benchmark_transfer,benchmark,benchmark,linear_surrogate,sac,outputs\phase10\counterfactual_eval\cross_transfer_summary.csv,mean_discounted_loss,159.8173503111956,std_discounted_loss,19.819269248827823,,,
case_0004,empirical_unified,cross_transfer,artificial,ann,td3_benchmark_transfer,benchmark_transfer,benchmark,benchmark,linear_surrogate,td3,outputs\phase10\counterfactual_eval\cross_transfer_summary.csv,mean_discounted_loss,148.60791018766488,std_discounted_loss,16.148676337954257,,,
case_0005,empirical_unified,cross_transfer,artificial,ann,ppo_svar_direct,svar_direct,svar,svar,linear_policy,ppo,outputs\phase10\counterfactual_eval\cross_transfer_summary.csv,mean_discounted_loss,202.59128013826597,std_discounted_loss,18.901304457570195,,,
case_0006,empirical_unified,cross_transfer,artificial,ann,ppo_svar_direct_nonlinear,svar_direct,svar,svar,nonlinear_policy,ppo,outputs\phase10\counterfactual_eval\cross_transfer_summary.csv,mean_discounted_loss,194.14425138815452,std_discounted_loss,17.326816541641225,,,
case_0007,empirical_unified,cross_transfer,artificial,ann,sac_svar_direct,svar_direct,svar,svar,standard_nonlinear,sac,outputs\phase10\counterfactual_eval\cross_transfer_summary.csv,mean_discounted_loss,184.18325609097343,std_discounted_loss,24.09857962757249,,,
case_0008,empirical_unified,cross_transfer,artificial,ann,td3_svar_direct,svar_direct,svar,svar,standard_nonlinear,td3,outputs\phase10\counterfactual_eval\cross_transfer_summary.csv,mean_discounted_loss,137.65861481668765,std_discounted_loss,26.82013420815255,,,
case_0009,empirical_unified,cross_transfer,artificial,svar,ppo_ann_direct,ann_direct,ann,ann,linear_policy,ppo,outputs\phase10\counterfactual_eval\cross_transfer_summary.csv,mean_discounted_loss,206.1052500481269,std_discounted_loss,145.3041689539289,,,
case_0010,empirical_unified,cross_transfer,artificial,svar,ppo_ann_direct_nonlinear,ann_direct,ann,ann,nonlinear_policy,ppo,outputs\phase10\counterfactual_eval\cross_transfer_summary.csv,mean_discounted_loss,98.31800959630505,std_discounted_loss,31.957548271757577,,,
case_0011,empirical_unified,cross_transfer,artificial,svar,sac_ann_direct,ann_direct,ann,ann,standard_nonlinear,sac,outputs\phase10\counterfactual_eval\cross_transfer_summary.csv,mean_discounted_loss,439.5459287355218,std_discounted_loss,227.9138469003696,,,
case_0012,empirical_unified,cross_transfer,artificial,svar,td3_ann_direct,ann_direct,ann,ann,standard_nonlinear,td3,outputs\phase10\counterfactual_eval\cross_transfer_summary.csv,mean_discounted_loss,371.64275671405113,std_discounted_loss,191.1461407090624,,,
case_0013,empirical_unified,cross_transfer,artificial,svar,linear_policy_search_transfer,benchmark_transfer,benchmark,benchmark,fixed_rule,,outputs\phase10\counterfactual_eval\cross_transfer_summary.csv,mean_discounted_loss,134.4534909442804,std_discounted_loss,38.39678185693018,,,
case_0014,empirical_unified,cross_transfer,artificial,svar,ppo_benchmark_transfer,benchmark_transfer,benchmark,benchmark,linear_surrogate,ppo,outputs\phase10\counterfactual_eval\cross_transfer_summary.csv,mean_discounted_loss,238.0861767792022,std_discounted_loss,59.802299262395145,,,
case_0015,empirical_unified,cross_transfer,artificial,svar,sac_benchmark_transfer,benchmark_transfer,benchmark,benchmark,linear_surrogate,sac,outputs\phase10\counterfactual_eval\cross_transfer_summary.csv,mean_discounted_loss,135.26705533176,std_discounted_loss,39.56126014411276,,,
case_0016,empirical_unified,cross_transfer,artificial,svar,td3_benchmark_transfer,benchmark_transfer,benchmark,benchmark,linear_surrogate,td3,outputs\phase10\counterfactual_eval\cross_transfer_summary.csv,mean_discounted_loss,150.97065095298183,std_discounted_loss,40.357634344237006,,,
case_0017,empirical_unified,historical_shock,artificial,ann,ppo_ann_direct,ann_direct,ann,ann,linear_policy,ppo,outputs\phase10\counterfactual_eval\ann_historical_summary.csv,total_discounted_loss,69.22967798608991,mean_period_loss,1.233359672011454,improvement_vs_actual_pct,58.85065761113525,
case_0018,empirical_unified,historical_shock,artificial,ann,ppo_ann_direct_nonlinear,ann_direct,ann,ann,nonlinear_policy,ppo,outputs\phase10\counterfactual_eval\ann_historical_summary.csv,total_discounted_loss,164.8150459836296,mean_period_loss,3.0095682486821063,improvement_vs_actual_pct,2.03578934197045,
case_0019,empirical_unified,historical_shock,artificial,ann,sac_ann_direct,ann_direct,ann,ann,standard_nonlinear,sac,outputs\phase10\counterfactual_eval\ann_historical_summary.csv,total_discounted_loss,86.00998126481335,mean_period_loss,1.5435702264424698,improvement_vs_actual_pct,48.87663396850152,
case_0020,empirical_unified,historical_shock,artificial,ann,td3_ann_direct,ann_direct,ann,ann,standard_nonlinear,td3,outputs\phase10\counterfactual_eval\ann_historical_summary.csv,total_discounted_loss,71.23898004201602,mean_period_loss,1.2529472927131124,improvement_vs_actual_pct,57.65635105551952,
case_0021,empirical_unified,historical_shock,artificial,ann,ppo_ann_revealed_direct,ann_revealed_direct,ann,ann,linear_policy,ppo,outputs\phase10\counterfactual_eval\ann_historical_summary.csv,total_discounted_loss,260.2478538332358,mean_period_loss,5.083049962915588,improvement_vs_actual_pct,-54.688398890180856,
case_0022,empirical_unified,historical_shock,artificial,ann,ppo_ann_revealed_direct_nonlinear,ann_revealed_direct,ann,ann,nonlinear_policy,ppo,outputs\phase10\counterfactual_eval\ann_historical_summary.csv,total_discounted_loss,268.8946516970633,mean_period_loss,5.266449882062565,improvement_vs_actual_pct,-59.82795834237755,
case_0023,empirical_unified,historical_shock,artificial,ann,sac_ann_revealed_direct,ann_revealed_direct,ann,ann,standard_nonlinear,sac,outputs\phase10\counterfactual_eval\ann_historical_summary.csv,total_discounted_loss,178.44052006678083,mean_period_loss,3.290418867148207,improvement_vs_actual_pct,-6.063039290033999,
case_0024,empirical_unified,historical_shock,artificial,ann,td3_ann_revealed_direct,ann_revealed_direct,ann,ann,standard_nonlinear,td3,outputs\phase10\counterfactual_eval\ann_historical_summary.csv,total_discounted_loss,114.15438596210474,mean_period_loss,2.031168896400468,improvement_vs_actual_pct,32.14791618575645,
case_0025,empirical_unified,historical_shock,artificial,ann,linear_policy_search_transfer,benchmark_transfer,benchmark,benchmark,fixed_rule,,outputs\phase10\counterfactual_eval\ann_historical_summary.csv,total_discounted_loss,159.90029717201102,mean_period_loss,2.93630507198685,improvement_vs_actual_pct,4.957060789241868,
case_0026,empirical_unified,historical_shock,artificial,ann,ppo_benchmark_transfer,benchmark_transfer,benchmark,benchmark,linear_surrogate,ppo,outputs\phase10\counterfactual_eval\ann_historical_summary.csv,total_discounted_loss,225.2772569630028,mean_period_loss,4.382164970962988,improvement_vs_actual_pct,-33.90226921259782,
case_0027,empirical_unified,historical_shock,artificial,ann,sac_benchmark_transfer,benchmark_transfer,benchmark,benchmark,linear_surrogate,sac,outputs\phase10\counterfactual_eval\ann_historical_summary.csv,total_discounted_loss,161.91055542351532,mean_period_loss,2.974545738442576,improvement_vs_actual_pct,3.762185881722989,
case_0028,empirical_unified,historical_shock,artificial,ann,td3_benchmark_transfer,benchmark_transfer,benchmark,benchmark,linear_surrogate,td3,outputs\phase10\counterfactual_eval\ann_historical_summary.csv,total_discounted_loss,155.2257644317758,mean_period_loss,2.8442514859063004,improvement_vs_actual_pct,7.73555050393541,
case_0029,empirical_unified,historical_shock,artificial,ann,empirical_taylor_rule,empirical_rule,svar,svar,fixed_rule,,outputs\phase10\counterfactual_eval\ann_historical_summary.csv,total_discounted_loss,130.4069222960769,mean_period_loss,2.3359108106278077,improvement_vs_actual_pct,22.48759128249081,
case_0030,empirical_unified,historical_shock,artificial,ann,historical_actual_policy,historical_actual,historical,historical,fixed_rule,,outputs\phase10\counterfactual_eval\ann_historical_summary.csv,total_discounted_loss,168.24005917728556,mean_period_loss,3.340584794534536,improvement_vs_actual_pct,0.0,
case_0031,empirical_unified,historical_shock,artificial,ann,ppo_svar_direct,svar_direct,svar,svar,linear_policy,ppo,outputs\phase10\counterfactual_eval\ann_historical_summary.csv,total_discounted_loss,172.81433160105638,mean_period_loss,3.167236045866434,improvement_vs_actual_pct,-2.718896109606459,
case_0032,empirical_unified,historical_shock,artificial,ann,ppo_svar_direct_nonlinear,svar_direct,svar,svar,nonlinear_policy,ppo,outputs\phase10\counterfactual_eval\ann_historical_summary.csv,total_discounted_loss,171.84129931277536,mean_period_loss,3.1624227783210777,improvement_vs_actual_pct,-2.1405366552415086,
