policy_name,model_id,rule_family,inflation_coeff,output_coeff,lagged_rate_coeff,total_discounted_loss,mean_period_loss,total_discounted_revealed_loss,mean_period_revealed_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,solver_status,improvement_vs_US_CCTW10_baseline_pct,improvement_vs_US_CCTW10_baseline_revealed_pct
td3_svar_direct,US_CCTW10,svar_direct,1.5961245323496174,1.1673078594796595,-0.0587375161838392,1.4485400566952523e-29,1.4485400594222498e-31,2.177994831046678e-29,2.1779948351469347e-31,4.930380657631324e-32,1.9110039873182348e-31,0.0,3.122502256758253e-16,0.0,ok,97.88224031310602,96.8274505112702
sac_svar_direct,US_CCTW10,svar_direct,1.5286326746986068,0.5722431752571063,0.2262155273747335,2.1360970455471125e-29,2.136097049568493e-31,2.614129766153828e-29,2.6141297710751456e-31,1.509929076399593e-31,1.2523359463378001e-31,0.0,-4.996003610813204e-16,0.0,ok,96.87703478447563,96.19215990099522
sac_benchmark_transfer,US_CCTW10,benchmark_transfer,1.1735575905740256,1.0213923824280504,0.3966722744554282,4.438305548484905e-29,4.438305556840385e-31,4.4390407006888367e-29,4.4390407090457e-31,4.437342591868191e-31,1.925929944387236e-34,0.0,-6.106226635438361e-16,0.0,ok,93.51121529207627,93.53392574460187
empirical_taylor_rule,US_CCTW10,empirical_rule,0.1931728114825275,0.2657685748665041,0.8691997672478173,5.126825502307147e-29,5.126825511958822e-31,5.365014816381079e-29,5.365014826481169e-31,4.81482486096809e-31,6.240013019814644e-32,0.0,-7.771561172376096e-16,0.0,ok,92.50460191256542,92.18511689278992
td3_benchmark_transfer,US_CCTW10,benchmark_transfer,0.968164929181337,1.178277175694704,0.4171051334440707,2.484545920079389e-28,2.4845459247567536e-30,4.2966225875511235e-28,4.296622595639873e-30,1.1093356479670479e-31,4.747224719920098e-30,0.0,-5.551115123125783e-16,0.0,ok,63.67603943390316,37.41377344385414
US_CCTW10_baseline,US_CCTW10,external_baseline,0.0,0.0,0.0,6.839964258738771e-28,6.839964271615573e-30,6.865124842918338e-28,6.865124855842507e-30,6.807006795442246e-30,6.591495234665315e-32,0.0,-2.6645352591003757e-15,0.0,ok,0.0,0.0
ppo_svar_direct_nonlinear,US_CCTW10,svar_direct,1.2466380078827537,0.5074466029259089,-0.1057424658280237,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_benchmark_transfer,US_CCTW10,benchmark_transfer,0.4809672945737837,0.4771268858015537,0.2629074889123439,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_ann_direct,US_CCTW10,ann_direct,-0.959321270308328,0.5472183921980825,0.1080788892883044,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_ann_direct_nonlinear,US_CCTW10,ann_direct,0.5999405734711161,0.5990150366658124,0.0491231228283324,inf,inf,inf,inf,,,,,,failed,-inf,-inf
td3_ann_direct,US_CCTW10,ann_direct,-1.082625149309122,0.967378900239466,0.4305887562735639,inf,inf,inf,inf,,,,,,failed,-inf,-inf
sac_ann_direct,US_CCTW10,ann_direct,-1.2027775887160563,1.1252890386703684,0.5284178823189376,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_svar_revealed_direct,US_CCTW10,svar_revealed_direct,-0.3360201548057305,0.1772042694405999,0.6133699482182594,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_svar_revealed_direct_nonlinear,US_CCTW10,svar_revealed_direct,0.0010851984364717,-0.0017277002714858,-0.000798077192071,inf,inf,inf,inf,,,,,,failed,-inf,-inf
td3_svar_revealed_direct,US_CCTW10,svar_revealed_direct,-0.0025121497772024,-0.148786795047988,0.9477881731460192,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_svar_direct,US_CCTW10,svar_direct,0.2523981567815053,0.1503624057740744,0.2816566566409654,inf,inf,inf,inf,,,,,,failed,-inf,-inf
sac_svar_revealed_direct,US_CCTW10,svar_revealed_direct,0.0678741432465723,0.0509750434082332,0.9307229868470568,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_ann_revealed_direct,US_CCTW10,ann_revealed_direct,0.5368597997803236,-0.250778224863415,0.5585725617360908,inf,inf,inf,inf,,,,,,failed,-inf,-inf
td3_ann_revealed_direct,US_CCTW10,ann_revealed_direct,-0.1511408135492509,0.1472029439613109,0.8871354255725383,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_ann_revealed_direct_nonlinear,US_CCTW10,ann_revealed_direct,7.518658540344514e-06,-5.233386810579525e-06,3.127369152992458e-06,inf,inf,inf,inf,,,,,,failed,-inf,-inf
sac_ann_revealed_direct,US_CCTW10,ann_revealed_direct,-0.1426743048464857,0.092528694534162,0.9683648999693326,inf,inf,inf,inf,,,,,,failed,-inf,-inf
