policy_name,model_id,rule_family,inflation_coeff,output_coeff,lagged_rate_coeff,total_discounted_loss,mean_period_loss,total_discounted_revealed_loss,mean_period_revealed_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,solver_status,improvement_vs_US_KS15_baseline_pct,improvement_vs_US_KS15_baseline_revealed_pct
td3_svar_direct,US_KS15,svar_direct,1.5961245323496174,1.1673078594796595,-0.0587375161838392,56.78613281299549,0.5426017732116017,93.49813945328373,0.8725974184007147,0.3848515790303955,0.31339517918633236,0.010526045880400696,0.026818957374662625,0.3239029223271305,ok,37.31334751780345,38.2079260545116
sac_benchmark_transfer,US_KS15,benchmark_transfer,1.1735575905740256,1.0213923824280504,0.3966722744554282,61.081266107436335,0.5798874941566876,98.02548772489669,0.9116397838316543,0.42751639072720876,0.302578098457832,0.010820542005629163,0.02654207892274832,0.32201991561480847,ok,32.571916558241654,35.21584256694374
td3_benchmark_transfer,US_KS15,benchmark_transfer,0.968164929181337,1.178277175694704,0.4171051334440707,65.0782378054735,0.5723275381204677,94.91244977235215,0.8352947734756394,0.4746981781707929,0.19336578068926438,0.009464696050424867,0.0152227319354594,0.2317716325133816,ok,28.15962849768382,37.27322116809609
ppo_benchmark_transfer,US_KS15,benchmark_transfer,0.4809672945737837,0.4771268858015537,0.2629074889123439,67.64038823350101,0.5828332236229024,94.4087055326317,0.8187032579802023,0.502728857361115,0.15845360070266862,0.008775659104529567,0.011347954027418063,0.19430666098529656,ok,25.33125076649035,37.60614117583563
ppo_ann_revealed_direct,US_KS15,ann_revealed_direct,0.5368597997803236,-0.250778224863415,0.5585725617360908,72.46479497309306,0.6911173228569144,196.33699919479423,1.875293702347892,0.4378145790443577,0.4966523118401739,0.04976587892469745,-0.0031026425711361185,0.14727878789863244,ok,20.00555074543937,-29.757345369870176
ppo_svar_direct,US_KS15,svar_direct,0.2523981567815053,0.1503624057740744,0.2816566566409654,77.58242025507012,0.6628935909042535,104.2207719106315,0.8980485879546493,0.5927785055162562,0.13840561337928248,0.00912278698355929,0.00972108587952364,0.17887432498468542,ok,14.356164501057144,31.121435333209263
US_KS15_baseline,US_KS15,external_baseline,0.0,0.0,0.0,90.58727905294218,1.3637986159068884,151.31089391135458,2.0747228844491934,0.7724579371768543,1.1800747266344416,0.013033154128134323,0.11521764096378319,0.7382524951905737,ok,0.0,0.0
td3_svar_revealed_direct,US_KS15,svar_revealed_direct,-0.0025121497772024,-0.148786795047988,0.9477881731460192,256.1975629645311,2.2657731322313706,258.7991001134566,2.2890446190181755,2.250766155591023,0.02989526665810383,0.0005934331129580563,0.000533117546262167,0.022052698120296303,ok,-182.81847699035183,-71.03798241062135
sac_svar_direct,US_KS15,svar_direct,1.5286326746986068,0.5722431752571063,0.2262155273747335,1801.0414048843668,10.285039779787228,2481.597990513896,14.270002126180026,5.4267255829880945,9.7138558008114,0.013862963934348847,0.9876624341570904,2.073554264486244,ok,-1888.1835768924893,-1540.0656465407833
ppo_svar_direct_nonlinear,US_KS15,svar_direct,1.2466380078827537,0.5074466029259089,-0.1057424658280237,inf,inf,inf,inf,,,,,,failed,-inf,-inf
td3_ann_direct,US_KS15,ann_direct,-1.082625149309122,0.967378900239466,0.4305887562735639,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_ann_direct,US_KS15,ann_direct,-0.959321270308328,0.5472183921980825,0.1080788892883044,inf,inf,inf,inf,,,,,,failed,-inf,-inf
sac_ann_direct,US_KS15,ann_direct,-1.2027775887160563,1.1252890386703684,0.5284178823189376,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_svar_revealed_direct,US_KS15,svar_revealed_direct,-0.3360201548057305,0.1772042694405999,0.6133699482182594,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_svar_revealed_direct_nonlinear,US_KS15,svar_revealed_direct,0.0010851984364717,-0.0017277002714858,-0.000798077192071,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_ann_direct_nonlinear,US_KS15,ann_direct,0.5999405734711161,0.5990150366658124,0.0491231228283324,inf,inf,inf,inf,,,,,,failed,-inf,-inf
sac_svar_revealed_direct,US_KS15,svar_revealed_direct,0.0678741432465723,0.0509750434082332,0.9307229868470568,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_ann_revealed_direct_nonlinear,US_KS15,ann_revealed_direct,7.518658540344514e-06,-5.233386810579525e-06,3.127369152992458e-06,inf,inf,inf,inf,,,,,,failed,-inf,-inf
td3_ann_revealed_direct,US_KS15,ann_revealed_direct,-0.1511408135492509,0.1472029439613109,0.8871354255725383,inf,inf,inf,inf,,,,,,failed,-inf,-inf
sac_ann_revealed_direct,US_KS15,ann_revealed_direct,-0.1426743048464857,0.092528694534162,0.9683648999693326,inf,inf,inf,inf,,,,,,failed,-inf,-inf
empirical_taylor_rule,US_KS15,empirical_rule,0.1931728114825275,0.2657685748665041,0.8691997672478173,inf,inf,inf,inf,,,,,,failed,-inf,-inf
