training_env,policy_name,algo,seed,update,mean_episode_reward_in_rollout,rollout_clip_rate,rollout_mean_abs_action,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate
ann,ppo_ann_direct_nonlinear,ppo,43,0,-160.15961809080372,0.0,3.4164346725447103,-183.1209125928931,121.78420453441555,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,10,-167.11297185785352,0.0,3.3579614572227,-199.55445733645215,133.15089765989762,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,20,-174.41269600476974,0.0,3.1919523660326377,-190.63367821634063,130.2825007101955,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,30,-139.6701611975336,0.0,3.2128733181161806,-202.25113011668407,137.2357406741277,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,40,-158.64245836325537,0.0,2.9370238081319258,-211.19095204150543,144.1034559836363,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,50,-150.37359893084587,0.0,3.252412199624814,-212.2326297314443,144.28151246855833,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,60,-151.81737879166394,0.0,3.129620768246241,-215.0368829983881,147.49919880597838,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,70,-133.74711175155974,0.0,2.994664850877598,-198.66453646800096,133.3127971683266,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,80,-142.63098669782505,0.0,2.975052624824457,-197.18274722568884,132.87260373833428,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,90,-140.0708005501003,0.0,3.0752412657020614,-201.54705312074458,136.48589661555718,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,100,-139.10836131847307,0.0,3.349554278422147,-189.36591167983943,126.61209925046064,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,110,-135.94739308379226,0.0,3.193811484496109,-177.6361892512635,118.23284101616164,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,120,-137.59924481730744,0.0,2.8848455594852567,-194.0058978594511,132.00840960973036,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,130,-131.20841353975533,0.0,2.8429910816485062,-188.87056255538596,128.716080067782,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,140,-131.36518193046015,0.0,2.996021612198092,-203.9341501582461,137.2735931646486,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,150,-136.83542535828306,0.0,2.7843296027276665,-200.17064580747126,134.98661102823735,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,160,-142.5457531967239,0.0,2.7595938412705436,-173.70119765436164,116.55751324095058,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,170,-120.19678896041357,0.0,2.8631167027633637,-159.31851217526486,104.3855807708297,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,180,-122.48320272621545,0.0,2.910623097443022,-170.93729788774937,115.90112854461604,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,190,-131.03116119948194,0.0,2.961102624074556,-179.18433780176144,122.67956915331716,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,200,-147.2541463564599,0.0,3.4216458863811567,-191.50682083990196,130.4073212617568,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,210,-134.65870205950804,0.0,3.446129569783807,-180.13783041384522,119.57248779062655,0.0
ann,ppo_ann_direct_nonlinear,ppo,43,219,-141.52634207463504,0.0,3.4691903066122904,-191.7521090331437,127.66436704940392,0.0
