rank,policy_name,model_id,total_discounted_loss,mean_period_loss,total_discounted_revealed_loss,mean_period_revealed_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,converged,iterations,max_fixed_point_gap,clip_rate,start,end,intercept,inflation_coeff,output_coeff,lagged_rate_coeff,policy_parameterization,revealed_improvement_vs_baseline_pct
1,fine_05,pyfrbus,0.012595757073969534,0.0005773525649575719,0.01595054056365712,0.0007226719704057014,0.0004141286275539532,0.00032623982965119923,1.0402257801906137e-06,3.00510170117431,2.588191888993913e-05,True,5,0.0,0.0,2040Q1,2045Q4,0.995,-0.002,0.002,0.01,linear_rule,14.048115111538234
2,fine_11,pyfrbus,0.01259980996043855,0.0005775025940807847,0.015953001556366916,0.0007227636809762603,0.0004139291260852024,0.0003269421572574916,1.0238936683653797e-06,3.0050608845033175,2.6490963310386397e-05,True,5,0.0,0.0,2040Q1,2045Q4,0.995,0.0,0.002,0.01,linear_rule,14.034853682481362
3,fine_17,pyfrbus,0.012603994397019026,0.0005776591226676082,0.015955754420335228,0.0007228693331206244,0.0004137297465904124,0.000327657213992005,1.0076908119317245e-06,3.005020086762657,2.7094910836454252e-05,True,5,0.0,0.0,2040Q1,2045Q4,0.995,0.002,0.002,0.01,linear_rule,14.020019461285308
4,fine_03,pyfrbus,0.0126046712904124,0.0005777287338413099,0.01595725482610713,0.000722981063257351,0.0004139258813886475,0.0003274027733128795,1.014657962226166e-06,3.0050771582110074,1.041903860906132e-05,True,5,0.0,0.0,2040Q1,2045Q4,0.995,-0.002,0.0,0.01,linear_rule,14.011934299301112
5,const_0p995_lag0p01,pyfrbus,0.012608833416212363,0.0005778839930449034,0.01596001049017122,0.0007230862911013662,0.00041372602101449597,0.0003281162385031868,9.985277881407113e-07,3.0050362135396553,1.0061072733469339e-05,True,5,0.0,0.0,2040Q1,2045Q4,0.995,0.0,0.0,0.01,linear_rule,13.997084989368163
6,fine_09,pyfrbus,0.012608833416212363,0.0005778839930449034,0.01596001049017122,0.0007230862911013662,0.00041372602101449597,0.0003281162385031868,9.985277881407113e-07,3.0050362135396553,1.0061072733469339e-05,True,5,0.0,0.0,2040Q1,2045Q4,0.995,0.0,0.0,0.01,linear_rule,13.997084989368163
7,fine_40,pyfrbus,0.012599493879729926,0.000577484119547696,0.01596049353313719,0.000723070314167152,0.00041389838681776077,0.00032696351488001405,1.0397528992814988e-06,3.005052905995324,2.660815888494753e-05,True,5,0.0,0.0,2040Q1,2045Q4,1.005,-0.002,0.002,0.0,linear_rule,13.994482039753914
8,fine_15,pyfrbus,0.012613127721542258,0.0005780457832419614,0.01596305913479172,0.0007232055160665962,0.00041352628309156755,0.0003288424949237721,9.825268850782774e-07,3.0049952878712602,9.758460460939064e-06,True,5,0.0,0.0,2040Q1,2045Q4,0.995,0.002,0.0,0.01,linear_rule,13.980656909677611
9,fine_46,pyfrbus,0.012603672632378209,0.0005776407871691803,0.015963148930185488,0.0007231723630907981,0.0004137008043460686,0.00032767528051565105,1.0234256528621727e-06,3.0050124895373407,2.727133607688493e-05,True,5,0.0,0.0,2040Q1,2045Q4,1.005,0.0,0.002,0.0,linear_rule,13.98017303370377
10,fine_01,pyfrbus,0.012613694269694511,0.0005781099053300625,0.015964346798567973,0.0007233069197609375,0.00041372209080472777,0.00032857773925001584,9.89449003267543e-07,3.0050523426419757,3.2659675184630116e-05,True,5,0.0,0.0,2040Q1,2045Q4,0.995,-0.002,-0.002,0.01,linear_rule,13.973718139908037
11,fine_52,pyfrbus,0.01260798037370027,0.0005778038273977489,0.015966091703893553,0.0007232881310933162,0.00041350334160729596,0.00032839952605359977,1.0072276365323642e-06,3.0049720916648375,2.792379846459227e-05,True,5,0.0,0.0,2040Q1,2045Q4,1.005,0.002,0.002,0.0,linear_rule,13.964315455335253
