period,inflation_gap,output_gap,lagged_policy_rate_gap,action,loss
0,-0.019737170630000023,0.03096444537982,1.0000938526302,0.8458837270736694,0.4788761743524648
1,-0.01816137052395761,0.06303358189104111,0.8458837270736694,0.7266377210617065,0.28941211130899813
2,-0.014986976478087888,0.11225966972516421,0.7266377210617065,0.6544969081878662,0.11580083865223706
3,-0.011558986522053782,0.18781727221446867,0.6544969081878662,0.6162765026092529,0.06045390337620746
4,-0.007620335105842813,0.26278953086081386,0.6162765026092529,0.6009029746055603,0.06551540209264713
5,-0.0036540714151283016,0.33342054973275975,0.6009029746055603,0.5982537269592285,0.09794458557080929
6,0.00023082375064653604,0.3976283084508565,0.5982537269592285,0.6021676659584045,0.13944306803861425
7,0.003975485317644356,0.45724347754789063,0.6021676659584045,0.6083069443702698,0.18480702324183987
8,0.0076389331152890705,0.5134069614155259,0.6083069443702698,0.6090922951698303,0.23213403481734377
9,0.011338754361429615,0.5681586348084033,0.6090922951698303,0.6094263195991516,0.2843698145849816
10,0.015138276805780393,0.62173174830161,0.6094263195991516,0.6137810945510864,0.3410226615922696
11,0.019000877617142642,0.6737836674915847,0.6137810945510864,0.6149784922599792,0.40022566572268903
12,0.022987634404465496,0.7247678251257378,0.6149784922599792,0.6151464581489563,0.4631996338866205
13,0.027140154296441565,0.7744125242251081,0.6151464581489563,0.6183149814605713,0.5292014524654071
14,0.031404422288296985,0.8224920428603955,0.6183149814605713,0.6185523867607117,0.5969141988720642
15,0.035814738119140266,0.8696136003309114,0.6185523867607117,0.6139746904373169,0.6678937491415166
16,0.04043869450483495,0.9165005253387613,0.6139746904373169,0.6050589084625244,0.7432139023869024
17,0.04530269633382211,0.9643469356704101,0.6050589084625244,0.5948688387870789,0.8234147347519737
18,0.05041494836679483,1.0133604916565546,0.5948688387870789,0.5879008769989014,0.908212730741382
19,0.05572886628183271,1.062866739488465,0.5879008769989014,0.5802361965179443,0.99955704613068
20,0.06123803896868907,1.1130308887112386,0.5802361965179443,0.5692904591560364,1.097607595675634
21,0.0669827899939559,1.1642493058419863,0.5692904591560364,0.5552858114242554,1.2026483651418534
22,0.0729783308982781,1.217370913571513,0.5552858114242554,0.5400118231773376,1.3157063804744475
23,0.07923137154026128,1.272680373725465,0.5400118231773376,0.5240792632102966,1.4384187453045527
