evaluation_env,policy_name,baseline_rank,revealed_rank,rank_change
ann,ppo_svar_direct,12.0,1.0,11.0
ann,empirical_taylor_rule,5.0,2.0,3.0
ann,ppo_ann_direct,1.0,3.0,-2.0
ann,historical_actual_policy,11.0,4.0,7.0
ann,ppo_benchmark_transfer,13.0,5.0,8.0
ann,linear_policy_search_transfer,9.0,6.0,3.0
ann,riccati_reference,7.0,7.0,0.0
ann,sac_benchmark_transfer,10.0,8.0,2.0
ann,td3_benchmark_transfer,6.0,9.0,-3.0
ann,sac_svar_direct,8.0,10.0,-2.0
ann,td3_ann_direct,2.0,11.0,-9.0
ann,td3_svar_direct,4.0,12.0,-8.0
ann,sac_ann_direct,3.0,13.0,-10.0
svar,ppo_svar_direct,4.0,1.0,3.0
svar,empirical_taylor_rule,3.0,2.0,1.0
svar,historical_actual_policy,1.0,3.0,-2.0
svar,ppo_ann_direct,10.0,4.0,6.0
svar,ppo_benchmark_transfer,11.0,5.0,6.0
svar,linear_policy_search_transfer,7.0,6.0,1.0
svar,sac_ann_direct,13.0,7.0,6.0
svar,td3_ann_direct,12.0,8.0,4.0
svar,sac_benchmark_transfer,6.0,9.0,-3.0
svar,sac_svar_direct,2.0,10.0,-8.0
svar,riccati_reference,8.0,11.0,-3.0
svar,td3_benchmark_transfer,9.0,12.0,-3.0
svar,td3_svar_direct,5.0,13.0,-8.0
