evaluation_env,policy_name,baseline_rank,revealed_rank,rank_change
ann,sac_ann_revealed_direct,14.0,1.0,13.0
ann,empirical_taylor_rule,10.0,2.0,8.0
ann,td3_ann_revealed_direct,6.0,3.0,3.0
ann,ppo_svar_direct,17.0,4.0,13.0
ann,sac_svar_revealed_direct,18.0,5.0,13.0
ann,ppo_ann_direct_nonlinear,11.0,6.0,5.0
ann,ppo_ann_direct,3.0,7.0,-4.0
ann,ppo_svar_revealed_direct,19.0,8.0,11.0
ann,ppo_ann_revealed_direct,20.0,9.0,11.0
ann,ppo_svar_direct_nonlinear,15.0,10.0,5.0
ann,ppo_benchmark_transfer,22.0,11.0,11.0
ann,ppo_svar_revealed_direct_nonlinear,21.0,12.0,9.0
ann,ppo_ann_revealed_direct_nonlinear,23.0,13.0,10.0
ann,linear_policy_search_transfer,12.0,14.0,-2.0
ann,sac_benchmark_transfer,9.0,15.0,-6.0
ann,sac_svar_direct,13.0,16.0,-3.0
ann,riccati_reference,8.0,17.0,-9.0
ann,td3_svar_revealed_direct,24.0,18.0,6.0
ann,td3_benchmark_transfer,7.0,19.0,-12.0
ann,td3_svar_direct,5.0,20.0,-15.0
ann,td3_ann_direct,2.0,21.0,-19.0
ann,sac_ann_direct,4.0,22.0,-18.0
svar,sac_svar_revealed_direct,9.0,1.0,8.0
svar,sac_ann_revealed_direct,14.0,2.0,12.0
svar,ppo_svar_direct,7.0,3.0,4.0
svar,empirical_taylor_rule,5.0,4.0,1.0
svar,td3_ann_revealed_direct,15.0,5.0,10.0
svar,ppo_ann_direct_nonlinear,3.0,6.0,-3.0
svar,td3_svar_revealed_direct,19.0,7.0,12.0
svar,ppo_svar_direct_nonlinear,2.0,8.0,-6.0
svar,ppo_benchmark_transfer,17.0,9.0,8.0
svar,ppo_ann_direct,16.0,10.0,6.0
svar,ppo_ann_revealed_direct,18.0,11.0,7.0
svar,ppo_svar_revealed_direct,21.0,12.0,9.0
svar,linear_policy_search_transfer,10.0,13.0,-3.0
svar,sac_svar_direct,1.0,14.0,-13.0
svar,sac_benchmark_transfer,8.0,15.0,-7.0
svar,ppo_svar_revealed_direct_nonlinear,22.0,16.0,6.0
svar,riccati_reference,11.0,17.0,-6.0
svar,ppo_ann_revealed_direct_nonlinear,23.0,18.0,5.0
svar,td3_benchmark_transfer,12.0,19.0,-7.0
svar,td3_ann_direct,20.0,20.0,0.0
svar,sac_ann_direct,24.0,21.0,3.0
svar,td3_svar_direct,4.0,22.0,-18.0
