algo,seed,update,mean_episode_reward_in_rollout,rollout_clip_rate,rollout_mean_abs_action,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate,env_id,group,tier,step
ppo,29,0.0,-374.72280169415365,0.0,2.0904731684859144,-223.04434127570184,172.37543883826558,0.0,asymmetric_extreme,asymmetric,extreme,
ppo,29,20.0,-345.18605520808467,0.0,2.038320675895193,-209.59043884921476,168.1276592568135,0.0,asymmetric_extreme,asymmetric,extreme,
ppo,29,40.0,-320.59166631162805,0.0,2.0402614587037533,-168.31561360882614,134.1895135818882,0.0,asymmetric_extreme,asymmetric,extreme,
ppo,29,60.0,-268.0490202227495,0.0,1.8707672719292532,-148.3562786948655,118.74046009520094,0.0,asymmetric_extreme,asymmetric,extreme,
ppo,29,80.0,-288.121512408131,0.0,1.9276511536627368,-149.38003041180758,118.98252583698894,0.0,asymmetric_extreme,asymmetric,extreme,
ppo,29,100.0,-248.3243332262448,0.0,1.9301955242881377,-132.84365292500877,105.12760209496756,0.0,asymmetric_extreme,asymmetric,extreme,
ppo,29,120.0,-191.93529851302685,0.0,1.75239888671058,-137.75582182743375,111.00091589904642,0.0,asymmetric_extreme,asymmetric,extreme,
ppo,29,140.0,-180.96323526105874,0.0,1.7568187833876436,-122.64969334574977,99.11599404078726,0.0,asymmetric_extreme,asymmetric,extreme,
ppo,29,159.0,-198.9104014044124,0.0,1.6702835073156166,-115.00644338613546,94.52353924166603,0.0,asymmetric_extreme,asymmetric,extreme,
ppo,43,0.0,-378.31416399648776,0.0,1.9623257359016861,-223.76350318142784,172.89337997629792,0.0,asymmetric_extreme,asymmetric,extreme,
ppo,43,20.0,-320.40133348596896,0.0,2.0114512588143043,-210.37647297108782,168.63769486468507,0.0,asymmetric_extreme,asymmetric,extreme,
ppo,43,40.0,-390.85753892416335,0.0,2.0171991025054012,-164.6767334387859,131.37897132001095,0.0,asymmetric_extreme,asymmetric,extreme,
ppo,43,60.0,-297.1699551373199,0.0,1.8955668226972193,-144.04943222446616,115.37393542124983,0.0,asymmetric_extreme,asymmetric,extreme,
ppo,43,80.0,-320.1345785781632,0.0,1.87227504862949,-144.59798668681688,115.24306411123278,0.0,asymmetric_extreme,asymmetric,extreme,
ppo,43,100.0,-250.3941665072021,0.0,1.8122972902301626,-128.54076183937318,101.80951965662136,0.0,asymmetric_extreme,asymmetric,extreme,
ppo,43,120.0,-188.80870239523156,0.0,1.7359287546569249,-135.7583410321665,109.62896994680936,0.0,asymmetric_extreme,asymmetric,extreme,
