policy,intercept,inflation_gap,output_gap,lagged_policy_rate_gap,fit_rmse,env_id,group,tier,algo,seed
ppo,-0.17375267463922509,0.9197513708518098,1.137890951981911,0.2057198626518248,0.5550424837931863,asymmetric_threshold_extreme,asymmetric,extreme_v2,ppo,43.0
sac,-0.3369025584459304,1.000213931267078,1.7315126995673538,0.023633158206939453,2.2413103668477663,asymmetric_threshold_extreme,asymmetric,extreme_v2,sac,43.0
td3,0.5231671964526178,0.7958225996861088,1.7291437014066249,0.08805009920597062,1.9113270902483355,asymmetric_threshold_extreme,asymmetric,extreme_v2,td3,43.0
ppo,-0.08932497620582582,0.9254663160840667,1.2102022603154177,0.28139877936575136,0.48821003438543625,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,ppo,43.0
sac,-0.2977530030533672,1.1767614242235815,1.6980926907062528,0.25463091441657815,2.074705931104904,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,sac,43.0
td3,-0.6115282833576203,1.6417856423060093,1.2462028671900427,0.21192312272389735,2.222718841723403,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,td3,43.0
ppo,-0.03223725493997338,0.005653964253142352,0.6879710364341736,0.009804969414003281,0.10470885064258925,nonlinear_extreme_v2,nonlinear,extreme_v2,ppo,43.0
sac,-0.8822918666601183,0.04692084416747086,0.3424227638542652,-0.06518382583345733,2.3103338698848894,nonlinear_extreme_v2,nonlinear,extreme_v2,sac,43.0
td3,-0.9208624384403232,0.1006135395169257,0.6189464719593525,-0.07594487769263217,2.0383420640687433,nonlinear_extreme_v2,nonlinear,extreme_v2,td3,43.0
ppo,-0.4464063036143781,0.05751746054490406,0.06336244891583921,0.07543651252388954,0.003927052488763245,nonlinear_hyper,nonlinear,hyper,ppo,43.0
sac,-0.37556591351330304,-0.8320848209957279,-0.34640822016199435,0.23762481044530873,1.2409300809597048,nonlinear_hyper,nonlinear,hyper,sac,43.0
td3,0.35469362075626865,0.17419702245295038,0.8533353646447266,-0.13240508451461785,1.4480852324748794,nonlinear_hyper,nonlinear,hyper,td3,43.0
ppo,2.146293716260873,-0.1346044468643641,-0.11505822877626189,0.47550927480061755,0.01773043972521699,zlb_trap_extreme,zlb,extreme_v2,ppo,43.0
sac,0.0940758287080868,-0.010437671925761907,-0.11129397486781216,-0.008556404113769699,0.15339861539367655,zlb_trap_extreme,zlb,extreme_v2,sac,43.0
td3,0.25000000000000006,3.011287189535866e-17,3.991953134642078e-19,3.823927733710024e-17,5.2662502028650513e-17,zlb_trap_extreme,zlb,extreme_v2,td3,43.0
ppo,2.0840077841473716,-0.10604290651987841,-0.05027530834239073,0.5193531290690099,0.0031687053830588663,zlb_trap_very_strong,zlb,very_strong_v2,ppo,43.0
sac,0.0005538617368960426,0.01769254201866055,-0.05112755478069348,0.056351437038845466,0.10861868799359632,zlb_trap_very_strong,zlb,very_strong_v2,sac,43.0
td3,0.005982524383313654,-0.008965320816959235,0.0063705542779737825,-0.00044685363769530844,0.02503301236738512,zlb_trap_very_strong,zlb,very_strong_v2,td3,43.0
empirical_taylor,0.2165731284960799,0.19317281148252752,0.2657685748665041,0.8691997672478173,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,,
linear_policy_search,0.0,0.9682692602900319,1.6672946416003795,-0.051304997909561265,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,,
riccati_reference,0.0,1.0891005070444726,1.0784387943807843,0.43405223835275225,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,,
zero_policy,0.0,0.0,0.0,0.0,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,,
empirical_taylor,0.2165731284960799,0.19317281148252752,0.2657685748665041,0.8691997672478173,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,,
linear_policy_search,0.0,1.307575011833704,1.7031002308255938,-0.11151101590330839,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,,
riccati_reference,0.0,1.0891005070444726,1.0784387943807843,0.43405223835275225,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,,
zero_policy,0.0,0.0,0.0,0.0,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,,
empirical_taylor,0.2165731284960799,0.19317281148252752,0.2657685748665041,0.8691997672478173,0.0,nonlinear_extreme_v2,nonlinear,extreme_v2,,
linear_policy_search,0.0,0.8518614381802903,0.7705920811173683,0.281363047745138,0.0,nonlinear_extreme_v2,nonlinear,extreme_v2,,
riccati_reference,0.0,1.0891005070444726,1.0784387943807843,0.43405223835275225,0.0,nonlinear_extreme_v2,nonlinear,extreme_v2,,
zero_policy,0.0,0.0,0.0,0.0,0.0,nonlinear_extreme_v2,nonlinear,extreme_v2,,
empirical_taylor,0.2165731284960799,0.19317281148252752,0.2657685748665041,0.8691997672478173,0.0,nonlinear_hyper,nonlinear,hyper,,
linear_policy_search,0.0,0.23942715189610864,-1.238348714222712,1.0235073437626478,0.0,nonlinear_hyper,nonlinear,hyper,,
riccati_reference,0.0,1.0891005070444726,1.0784387943807843,0.43405223835275225,0.0,nonlinear_hyper,nonlinear,hyper,,
zero_policy,0.0,0.0,0.0,0.0,0.0,nonlinear_hyper,nonlinear,hyper,,
empirical_taylor,0.2165731284960799,0.19317281148252752,0.2657685748665041,0.8691997672478173,0.0,zlb_trap_extreme,zlb,extreme_v2,,
linear_policy_search,0.0,0.8720190955124714,1.2667174132965777,0.1284195250830543,0.0,zlb_trap_extreme,zlb,extreme_v2,,
riccati_reference,0.0,1.0891005070444726,1.0784387943807843,0.43405223835275225,0.0,zlb_trap_extreme,zlb,extreme_v2,,
zero_policy,0.0,0.0,0.0,0.0,0.0,zlb_trap_extreme,zlb,extreme_v2,,
empirical_taylor,0.2165731284960799,0.19317281148252752,0.2657685748665041,0.8691997672478173,0.0,zlb_trap_very_strong,zlb,very_strong_v2,,
linear_policy_search,0.0,0.7631925053440083,1.7240549696754306,-0.2565406083544043,0.0,zlb_trap_very_strong,zlb,very_strong_v2,,
