env_id,group,tier,algo,mean_discounted_loss,std_discounted_loss,median_discounted_loss,mean_reward,mean_clip_rate,mean_explosion_rate,best_loss_in_env,loss_gap_vs_best_rl_pct
asymmetric_threshold_very_strong,asymmetric,very_strong_v2,ppo,92.93534666591113,0.0,92.93534666591113,-99.65255241738845,0.0,0.0,92.93534666591113,0.0
asymmetric_threshold_very_strong,asymmetric,very_strong_v2,sac,95.11737704926448,0.0,95.11737704926448,-104.27904263786435,0.0,0.0,92.93534666591113,2.34790148381049
asymmetric_threshold_very_strong,asymmetric,very_strong_v2,td3,94.38665337170728,0.0,94.38665337170728,-102.4753151625634,0.0,0.0,92.93534666591113,1.5616304859908579
asymmetric_threshold_extreme,asymmetric,extreme_v2,ppo,279.9155230836647,0.0,279.9155230836647,-292.39552321816865,0.0,0.0,268.82333275872844,4.126200732319473
asymmetric_threshold_extreme,asymmetric,extreme_v2,sac,268.82333275872844,0.0,268.82333275872844,-283.4668369070526,0.0,0.0,268.82333275872844,0.0
asymmetric_threshold_extreme,asymmetric,extreme_v2,td3,282.20910059354406,0.0,282.20910059354406,-300.4292610139413,0.0,0.0,268.82333275872844,4.9793921150547895
nonlinear_extreme_v2,nonlinear,extreme_v2,ppo,881.316195967244,0.0,881.316195967244,-979.527091429845,0.0,0.9583333333333334,471.19039313480215,87.04035753019048
nonlinear_extreme_v2,nonlinear,extreme_v2,sac,543.2931261076527,0.0,543.2931261076527,-577.8864002734164,0.0,0.5,471.19039313480215,15.302250220586055
nonlinear_extreme_v2,nonlinear,extreme_v2,td3,471.19039313480215,0.0,471.19039313480215,-500.22983439859354,0.0,0.5,471.19039313480215,0.0
nonlinear_hyper,nonlinear,hyper,ppo,781.5687997302072,0.0,781.5687997302072,-813.4574458197367,0.0,1.0,730.4512015411025,6.99808530415954
nonlinear_hyper,nonlinear,hyper,sac,857.8325959528935,0.0,857.8325959528935,-891.8997629772933,0.0,1.0,730.4512015411025,17.438727480089337
nonlinear_hyper,nonlinear,hyper,td3,730.4512015411025,0.0,730.4512015411025,-791.5469077988146,0.0,0.9791666666666666,730.4512015411025,0.0
zlb_trap_very_strong,zlb,very_strong_v2,ppo,370.48710016991663,0.0,370.48710016991663,-379.95323215682055,0.0,1.0,72.52027537015057,410.87381877538974
zlb_trap_very_strong,zlb,very_strong_v2,sac,73.50222473024246,0.0,73.50222473024246,-85.93216704572406,0.0,0.0,72.52027537015057,1.354034240879428
zlb_trap_very_strong,zlb,very_strong_v2,td3,72.52027537015057,0.0,72.52027537015057,-84.90336151532931,0.0,0.0,72.52027537015057,0.0
zlb_trap_extreme,zlb,extreme_v2,ppo,596.109483574019,0.0,596.109483574019,-605.9338570045867,0.0,1.0,107.63680442947827,453.81566438511226
zlb_trap_extreme,zlb,extreme_v2,sac,166.63150215262638,0.0,166.63150215262638,-179.4107574854592,0.0,0.25,107.63680442947827,54.809038633063835
zlb_trap_extreme,zlb,extreme_v2,td3,107.63680442947827,0.0,107.63680442947827,-123.01268175533251,0.0,0.0,107.63680442947827,0.0
