algo,seed,update,mean_episode_reward_in_rollout,rollout_clip_rate,rollout_mean_abs_action,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate,env_id,group,tier,step
ppo,43,0.0,-1430.2901589721494,0.0,2.00914647240279,-989.2009840900942,862.9920640137137,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,
ppo,43,20.0,-865.5850600204386,0.0,1.9517073831016205,-614.3176621545765,574.1744920200096,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,
ppo,43,40.0,-493.201842599862,0.0,1.7256070276851005,-381.0810594982274,359.92530973219544,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,
ppo,43,60.0,-704.1248417916722,0.0,1.6393866236639951,-362.5989590404874,345.459741215655,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,
ppo,43,80.0,-575.1956634717571,0.0,1.6110333596193414,-366.7709494345229,350.2961968786805,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,
ppo,43,100.0,-547.3155808715289,0.0,1.7056239330092922,-425.33015512958167,408.7535615308534,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,
ppo,43,120.0,-650.7907917655145,0.0,1.682229887045196,-500.34891189401554,480.8926735480113,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,
ppo,43,140.0,-532.2200670185564,0.0,1.6101664301713754,-556.6309235505802,538.2234231961763,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,
ppo,43,160.0,-654.8298679638469,0.0,1.6021350822593377,-525.8650908872064,509.88808043580394,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,
ppo,43,180.0,-353.79906369700177,0.0,1.5365136658069787,-603.5227766787947,588.1456089413658,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,
ppo,43,200.0,-442.45509846521145,0.0,1.5068713756336365,-588.7314051997969,574.1470064336389,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,
ppo,43,220.0,-614.8265655329061,0.0,1.42323572621126,-537.0879947027961,523.707721519333,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,
ppo,43,240.0,-276.51876534799817,0.0,1.46669626071116,-432.8751729974822,419.2033096308005,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,
ppo,43,260.0,-480.57244053329293,0.0,1.3784087944909515,-409.7702879405717,395.68268914365564,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,
ppo,43,280.0,-665.2577861390946,0.0,1.393689635260671,-416.3163560881533,404.0972184729109,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,
ppo,43,300.0,-465.36606976629855,0.0,1.3961540925488407,-384.16315915353607,374.1394968680525,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,
ppo,43,319.0,-402.2876016954079,0.0,1.440446597120399,-433.98785272976147,422.03101665134676,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,
sac,43,,,,,-386.28703173766235,369.4342488215452,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,4000.0
sac,43,,,,,-496.91669494291,467.6322607376128,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,8000.0
sac,43,,,,,-453.343522881061,436.4794519234315,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,12000.0
sac,43,,,,,-313.9293989773153,298.8984884952975,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,16000.0
sac,43,,,,,-299.09349044439597,283.9238245934153,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,20000.0
sac,43,,,,,-453.90629766930556,436.55091087518326,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,24000.0
sac,43,,,,,-486.47160673714274,470.0810158350041,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,28000.0
td3,43,,,,,-468.66101895057454,451.8096652991796,0.0,asymmetric_threshold_extreme,asymmetric,extreme_v2,4000.0
