policy,period,inflation_gap,output_gap,lagged_policy_rate_gap,action,loss
finite_horizon_dp,0,1.6,-2.0,0.0,-2.75,5.31625
finite_horizon_dp,1,-2.2031604268061167,-0.5415235934008212,-2.75,-2.75,5.000539767349379
finite_horizon_dp,2,-2.4307545631866625,-0.4579772844401258,-2.75,-2.75,6.013439342984359
finite_horizon_dp,3,-3.298669798395084,-1.549950269755136,-2.75,-2.7499999999999996,12.082395358200875
finite_horizon_dp,4,-5.981645725140778,-1.7427782218867884,-2.7499999999999996,-2.75,37.298723546436385
finite_horizon_dp,5,-13.805345621474586,-1.8363592499865486,-2.75,-2.75,192.27367537587313
finite_horizon_dp,6,-58.19904206765463,-3.058814449351277,-2.75,-2.75,3391.8066705104134
finite_horizon_dp,7,-940.7733796772553,-5.342874059176005,-2.75,-2.75,885068.8250609713
finite_horizon_dp,8,-246854.77236943415,-50.73892013135383,-2.75,-2.75,60937279928.784164
finite_horizon_dp,9,-17058371668.665018,-12380.696115104805,-2.75,-2.75,2.9098804398639e+20
finite_horizon_dp,10,-8.147658052329302e+19,-852928116.757556,-2.75,-2.75,6.63843317376865e+39
finite_horizon_dp,11,-1.8587612886315946e+39,-4.0738290268214057e+18,-2.75,-2.75,3.4549935281153863e+78
finite_horizon_dp,12,-9.673981878723082e+77,-9.293806443157973e+37,-2.75,-2.75,9.358592538986256e+155
finite_horizon_dp,13,-2.6204059109161524e+155,-4.836990939361541e+76,-2.75,-2.75,inf
finite_horizon_dp,14,-inf,-1.3102029554580762e+154,-2.75,-2.75,inf
finite_horizon_dp,15,,-inf,,,
finite_horizon_dp,16,,,,,
finite_horizon_dp,17,,,,,
finite_horizon_dp,18,,,,,
finite_horizon_dp,19,,,,,
finite_horizon_dp,20,,,,,
finite_horizon_dp,21,,,,,
finite_horizon_dp,22,,,,,
finite_horizon_dp,23,,,,,
finite_horizon_dp,24,,,,,
finite_horizon_dp,25,,,,,
finite_horizon_dp,26,,,,,
finite_horizon_dp,27,,,,,
finite_horizon_dp,28,,,,,
finite_horizon_dp,29,,,,,
finite_horizon_dp,30,,,,,
finite_horizon_dp,31,,,,,
finite_horizon_dp,32,,,,,
finite_horizon_dp,33,,,,,
finite_horizon_dp,34,,,,,
finite_horizon_dp,35,,,,,
finite_horizon_dp,36,,,,,
finite_horizon_dp,37,,,,,
finite_horizon_dp,38,,,,,
finite_horizon_dp,39,,,,,
finite_horizon_dp,40,,,,,
finite_horizon_dp,41,,,,,
finite_horizon_dp,42,,,,,
finite_horizon_dp,43,,,,,
finite_horizon_dp,44,,,,,
finite_horizon_dp,45,,,,,
finite_horizon_dp,46,,,,,
finite_horizon_dp,47,,,,,
finite_horizon_dp,48,,,,,
finite_horizon_dp,49,,,,,
finite_horizon_dp,50,,,,,
finite_horizon_dp,51,,,,,
finite_horizon_dp,52,,,,,
finite_horizon_dp,53,,,,,
finite_horizon_dp,54,,,,,
finite_horizon_dp,55,,,,,
finite_horizon_dp,56,,,,,
finite_horizon_dp,57,,,,,
finite_horizon_dp,58,,,,,
finite_horizon_dp,59,,,,,
riccati_reference,0,1.6,-2.0,0.0,-0.41431677749041285,4.577165839211005
riccati_reference,1,-2.371329618826807,-0.810127163989424,-0.41431677749041285,-2.75,6.49689878363334
riccati_reference,2,-2.8741767825472895,-0.6732104933943843,-2.75,-2.75,8.487498361542043
riccati_reference,3,-4.257765946747324,-1.7378509516179466,-2.75,-2.75,19.63863382230084
riccati_reference,4,-8.512369038278207,-1.9354165543387645,-2.75,-2.75,74.33334526324172
riccati_reference,5,-24.583091904810384,-2.111226931631442,-2.75,-2.75,606.5570471787769
riccati_reference,6,-174.25794048865683,-3.8093498783846345,-2.75,-2.75,30373.085396596238
riccati_reference,7,-8423.368741770102,-11.723731260581799,-2.75,-2.75,70953209.68276696
riccati_reference,8,-19839903.87278332,-429.78194828107866,-2.75,-2.75,393621785773638.75
riccati_reference,9,-110211216295962.89,-992325.0142674743,-2.75,-2.75,1.2146512197435516e+28
riccati_reference,10,-3.4010233780978126e+27,-5510561578888.594,-2.75,-2.75,1.1566960018367857e+55
riccati_reference,11,-3.238748805142994e+54,-1.7005116890489485e+26,-2.75,-2.75,1.0489493822815171e+109
riccati_reference,12,-2.9370582703882487e+108,-1.6193744025714972e+53,-2.75,-2.75,8.626311283656011e+216
riccati_reference,13,-2.415367159423683e+216,-1.4685291351941245e+107,-2.75,-2.75,inf
riccati_reference,14,,-1.2076835797118416e+215,-2.75,,
riccati_reference,15,,,,,
riccati_reference,16,,,,,
riccati_reference,17,,,,,
riccati_reference,18,,,,,
riccati_reference,19,,,,,
riccati_reference,20,,,,,
riccati_reference,21,,,,,
riccati_reference,22,,,,,
riccati_reference,23,,,,,
riccati_reference,24,,,,,
riccati_reference,25,,,,,
riccati_reference,26,,,,,
riccati_reference,27,,,,,
riccati_reference,28,,,,,
riccati_reference,29,,,,,
riccati_reference,30,,,,,
riccati_reference,31,,,,,
riccati_reference,32,,,,,
riccati_reference,33,,,,,
riccati_reference,34,,,,,
riccati_reference,35,,,,,
riccati_reference,36,,,,,
riccati_reference,37,,,,,
riccati_reference,38,,,,,
riccati_reference,39,,,,,
riccati_reference,40,,,,,
riccati_reference,41,,,,,
riccati_reference,42,,,,,
riccati_reference,43,,,,,
riccati_reference,44,,,,,
riccati_reference,45,,,,,
riccati_reference,46,,,,,
riccati_reference,47,,,,,
riccati_reference,48,,,,,
riccati_reference,49,,,,,
riccati_reference,50,,,,,
riccati_reference,51,,,,,
riccati_reference,52,,,,,
riccati_reference,53,,,,,
riccati_reference,54,,,,,
riccati_reference,55,,,,,
riccati_reference,56,,,,,
riccati_reference,57,,,,,
riccati_reference,58,,,,,
riccati_reference,59,,,,,
best_rl_surrogate,0,1.6,-2.0,0.0,-1.0732618726084642,4.675189104719503
best_rl_surrogate,1,-2.323885571978307,-0.7343484780508479,-1.0732618726084642,-0.5346605237485036,5.699087136556119
best_rl_surrogate,2,-2.8981073883078268,-0.867252742648178,-0.5346605237485036,-0.8194137205891228,8.783198532290902
best_rl_surrogate,3,-4.537231874294649,-2.1104774359636456,-0.8194137205891228,-2.128129151389943,22.984804192852796
best_rl_surrogate,4,-9.96352555449837,-2.3078273912524754,-2.128129151389943,-2.75,101.97354744428475
best_rl_surrogate,5,-32.3540012896662,-2.4705411018660075,-2.75,-2.75,1049.8331861197269
best_rl_surrogate,6,-296.01233874766365,-4.474567258708041,-2.75,-2.75,87633.31556693793
best_rl_surrogate,7,-24329.207024493466,-18.32366855638116,-2.75,-2.75,591910482.3190768
best_rl_surrogate,8,-165602327.76099724,-1230.1558141350122,-2.75,-2.75,2.7424130960617396e+16
best_rl_surrogate,9,-7678687533849366.0,-8281062.496554879,-2.75,-2.75,5.896224224249366e+31
best_rl_surrogate,10,-1.6509427806278417e+31,-383934383068886.6,-2.75,-2.75,2.72561206490719e+62
best_rl_surrogate,11,-7.631713781740133e+61,-8.254713903139212e+29,-2.75,-2.75,5.824305524640228e+123
best_rl_surrogate,12,-1.630805546899264e+123,-3.815856890870066e+60,-2.75,-2.75,2.6595267317974077e+246
best_rl_surrogate,13,-7.446674849032743e+245,-8.1540277344963205e+121,-2.75,-2.75,inf
best_rl_surrogate,14,,-3.7233374245163716e+244,-2.75,,
best_rl_surrogate,15,,,,,
best_rl_surrogate,16,,,,,
best_rl_surrogate,17,,,,,
best_rl_surrogate,18,,,,,
best_rl_surrogate,19,,,,,
best_rl_surrogate,20,,,,,
best_rl_surrogate,21,,,,,
best_rl_surrogate,22,,,,,
best_rl_surrogate,23,,,,,
best_rl_surrogate,24,,,,,
best_rl_surrogate,25,,,,,
best_rl_surrogate,26,,,,,
best_rl_surrogate,27,,,,,
best_rl_surrogate,28,,,,,
best_rl_surrogate,29,,,,,
best_rl_surrogate,30,,,,,
best_rl_surrogate,31,,,,,
best_rl_surrogate,32,,,,,
best_rl_surrogate,33,,,,,
best_rl_surrogate,34,,,,,
best_rl_surrogate,35,,,,,
best_rl_surrogate,36,,,,,
best_rl_surrogate,37,,,,,
best_rl_surrogate,38,,,,,
best_rl_surrogate,39,,,,,
best_rl_surrogate,40,,,,,
best_rl_surrogate,41,,,,,
best_rl_surrogate,42,,,,,
best_rl_surrogate,43,,,,,
best_rl_surrogate,44,,,,,
best_rl_surrogate,45,,,,,
best_rl_surrogate,46,,,,,
best_rl_surrogate,47,,,,,
best_rl_surrogate,48,,,,,
best_rl_surrogate,49,,,,,
best_rl_surrogate,50,,,,,
best_rl_surrogate,51,,,,,
best_rl_surrogate,52,,,,,
best_rl_surrogate,53,,,,,
best_rl_surrogate,54,,,,,
best_rl_surrogate,55,,,,,
best_rl_surrogate,56,,,,,
best_rl_surrogate,57,,,,,
best_rl_surrogate,58,,,,,
best_rl_surrogate,59,,,,,
