policy,period,inflation_gap,output_gap,lagged_policy_rate_gap,action,loss
finite_horizon_dp,0,-2.1,-2.9,0.0,0.25,8.62125
finite_horizon_dp,1,-2.529979254287793,-2.567017592685699,0.25,0.25,9.695584687705558
finite_horizon_dp,2,-2.4128832380823977,-2.394837558789246,0.25,0.25,8.689628987112814
finite_horizon_dp,3,-2.5585917496171944,-1.646801843094135,0.25,0.25,7.902369896418295
finite_horizon_dp,4,-2.3789130819226165,-1.7353411954031168,0.25,0.25,7.164931983574121
finite_horizon_dp,5,-2.548772166720446,-1.1004789943179136,0.25,0.25,7.10176656631632
finite_horizon_dp,6,-2.1871153038694437,-0.4773123624865464,0.25,0.25,4.897386898111174
finite_horizon_dp,7,-1.9670992576525417,-0.0783940764508192,0.25,0.25,3.872552305068469
finite_horizon_dp,8,-1.4037236107441302,0.2729277873362554,0.25,0.25,2.0076847639106705
finite_horizon_dp,9,-0.888276830723347,-0.2703676742528045,0.25,0.25,0.8255850676403489
finite_horizon_dp,10,-0.38193090060303064,-0.9391068277278882,0.25,0.25,0.5868320297780109
finite_horizon_dp,11,-0.6403695950931728,-0.6992292190869627,0.25,0.25,0.654533968732276
finite_horizon_dp,12,-0.34280583566618944,-0.9949844337993969,0.25,0.25,0.6125128527183478
finite_horizon_dp,13,-0.21896696954040012,-1.159181896963655,0.25,0.25,0.7197978688738352
finite_horizon_dp,14,-0.28557498259026104,-1.0125404788750962,0.25,0.25,0.5941721813617326
finite_horizon_dp,15,-0.4847049827857976,-1.1696864750061708,0.25,0.25,0.9190221452435612
finite_horizon_dp,16,-0.6965781096738736,-1.0099560580439262,0.25,0.25,0.9952266824666403
finite_horizon_dp,17,-0.7146457351739859,-0.6756103353980865,0.25,0.25,0.7389431894507241
finite_horizon_dp,18,-0.6988352872536316,-0.576206573781965,0.25,0.25,0.6543777665456414
finite_horizon_dp,19,-0.7983585524552167,-0.036573516426989416,0.25,0.25,0.6380451893303066
finite_horizon_dp,20,-0.6569215909996793,-0.14452392343571413,0.25,0.25,0.441989558944176
finite_horizon_dp,21,-0.8117568013585648,-0.3280233551842143,0.25,0.25,0.7127487653250429
finite_horizon_dp,22,-0.1898993170773171,-0.41235345798076056,0.25,0.25,0.12107943778077686
finite_horizon_dp,23,-0.21014446301694378,-0.22757625411602775,0.25,0.25,0.07005617105542107
finite_horizon_dp,24,-0.1403808129819158,0.21760644723298395,0.25,0.25,0.04338305559214433
finite_horizon_dp,25,-0.19627373845864418,-0.07283726794071363,0.25,0.25,0.041176014209065914
finite_horizon_dp,26,-0.15666716718801718,0.14496938609966561,0.25,0.25,0.03505266272777509
finite_horizon_dp,27,0.043530538836365776,-0.42305697824494815,0.25,0.25,0.09138351123225762
finite_horizon_dp,28,-0.15225015342734388,-0.8238418944595964,0.25,0.25,0.3625378427520382
finite_horizon_dp,29,-0.4710451310685919,-0.5588011420761958,0.25,0.25,0.37801287369625736
finite_horizon_dp,30,-0.1667267208755845,-0.04323836111034013,0.25,0.25,0.02873257738967915
finite_horizon_dp,31,-0.199147811953508,0.16088566815822963,0.25,0.25,0.05260195011522978
finite_horizon_dp,32,-0.14826348710710155,-0.1388577254445746,0.25,0.25,0.0316227955669781
