period,inflation_gap,output_gap,lagged_policy_rate_gap,action,loss
0,-0.019737170630000023,0.03096444537982,1.0000938526302,1.0051023960113525,0.0017390616007539402
1,-0.019788504157438824,0.02835568064010838,1.0051023960113525,1.0051474571228027,0.001100808877548343
2,-0.01985272712464492,0.026096975731691705,1.0051474571228027,1.005143404006958,0.00099485100052248
3,-0.01989178591269969,0.02898023450869817,1.005143404006958,1.005149245262146,0.0011364465785834233
4,-0.019948105709871378,0.03143267963537708,1.005149245262146,1.0051542520523071,0.0012693463390505524
5,-0.01999567258720991,0.030627874695735774,1.0051542520523071,1.005152702331543,0.0012272006606444037
6,-0.0200435065615836,0.027800649748711017,1.005152702331543,1.0051472187042236,0.0010834411988824906
7,-0.020089928420866654,0.023957312007600786,1.0051472187042236,1.0051395893096924,0.0009098779584381322
8,-0.020137744957715364,0.019971689096536512,1.0051395893096924,1.0051316022872925,0.0007573925331341392
9,-0.020186686856961567,0.016328623377489814,1.0051316022872925,1.0051243305206299,0.00064273238468392
10,-0.02023712384850218,0.013221175067774555,1.0051243305206299,1.0051181316375732,0.0005637809609772631
11,-0.02028919893250314,0.010641516980321253,1.0051181316375732,1.005113124847412,0.0005115924410023519
12,-0.020343034653560466,0.008481718225362473,1.005113124847412,1.0051088333129883,0.00047734408301058185
13,-0.02039868037883852,0.006608873922146165,1.0051088333129883,1.0051051378250122,0.00045467543578184445
14,-0.02045613004314606,0.004908690769833174,1.0051051378250122,1.0051017999649048,0.0004397418946941377
15,-0.02051534630108054,0.0033032800213628187,1.0051017999649048,1.0050987005233765,0.000430529787741021
16,-0.02057626218819464,0.0017507669799658137,1.0050987005233765,1.0050957202911377,0.0004261008757133935
17,-0.020638796504091284,0.00023642697368316955,1.0050957202911377,1.005092740058899,0.0004260115038645782
18,-0.020702856745129505,-0.00123848343584778,1.005092740058899,1.0050898790359497,0.00042994987063690643
19,-0.020768347307410284,-0.002666189059980564,1.0050898790359497,1.00508713722229,0.00043756840808386655
20,-0.020835170771118294,-0.004038633137927154,1.00508713722229,1.00508451461792,0.0004484497183063865
21,-0.020903228850940758,-0.005350629477620546,1.00508451461792,1.0050818920135498,0.00046214009672587947
22,-0.020972424180349947,-0.006600569043518195,1.0050818920135498,1.0050795078277588,0.0004781976522381621
23,-0.02104266370678598,-0.007789930107448822,1.0050795078277588,1.0050773620605469,0.0004962289076406881
