period,inflation_gap,output_gap,lagged_policy_rate_gap,action,loss
0,-0.019737170630000023,0.03096444537982,1.0000938526302,1.0061734914779663,0.001977664309143676
1,-0.01979944981895687,0.028123183139475465,1.0061734914779663,1.0062317848205566,0.0010897419363395822
2,-0.019877377636258187,0.025690836457501424,1.0062317848205566,1.0062278509140015,0.0009773294408753927
3,-0.019924765787620924,0.028319432854308574,1.0062278509140015,1.0062330961227417,0.0011044215382672773
4,-0.01999307946212081,0.030606985316152677,1.0062330961227417,1.0062377452850342,0.001226025772960782
5,-0.02005074707260035,0.029623260788986885,1.0062377452850342,1.0062360763549805,0.001176083139469962
6,-0.020108711926003497,0.026635698474699297,1.0062360763549805,1.006230354309082,0.001030184253515684
7,-0.0201649721422823,0.02263028822123384,1.006230354309082,1.0062224864959717,0.0008584193491144233
8,-0.0202229209210667,0.01848845517594966,1.0062224864959717,1.0062143802642822,0.0007105540731747875
9,-0.020282244856667075,0.014693940426778108,1.0062143802642822,1.00620698928833,0.0006018991080462535
10,-0.02034338922502843,0.011439823969900896,1.00620698928833,1.0062006711959839,0.00052936543615616
11,-0.02040652601096471,0.008718059947403564,1.0062006711959839,1.0061954259872437,0.0004835339605647733
12,-0.020471799572139737,0.0064204727086362694,1.0061954259872437,1.0061910152435303,0.00045550985928292475
13,-0.020539269074906885,0.004413868380413404,1.0061910152435303,1.0061872005462646,0.0004390867771143351
14,-0.020608927255741927,0.002583691697111947,1.0061872005462646,1.0061837434768677,0.00043064163383400264
15,-0.02068072728299364,0.0008517936664528216,1.0061837434768677,1.0061805248260498,0.00042834157694294513
16,-0.020754588825133924,-0.0008239120367464348,1.0061805248260498,1.006177306175232,0.00043134288937596933
17,-0.020830412220909755,-0.0024583270825841034,1.006177306175232,1.0061742067337036,0.0004392083865915881
18,-0.020908086864041664,-0.004050400766518613,1.0061742067337036,1.0061712265014648,0.00045156983539878105
19,-0.020987497852273496,-0.005592495419984257,1.0061712265014648,1.0061683654785156,0.0004679913623076786
20,-0.021068526099880858,-0.007076706830172748,1.0061683654785156,1.006165623664856,0.00048796243375621317
21,-0.02115105322490307,-0.008497958310995231,1.006165623664856,1.0061630010604858,0.0005109482915588585
22,-0.021234962443598793,-0.00985477960340878,1.0061630010604858,1.0061604976654053,0.0005364457993319453
23,-0.02132013985594039,-0.011148714818606811,1.0061604976654053,1.0061581134796143,0.0005640186592908256
