period,inflation_gap,output_gap,lagged_policy_rate_gap,action,loss
0,-0.019737170630000023,0.03096444537982,1.0000938526302,1.0075414180755615,0.0023494040910637184
1,-0.019813428828246993,0.027826269200648804,1.0075414180755615,1.0086781978607178,0.001101649656877415
2,-0.01991970724308234,0.02494243198182113,1.0086781978607178,1.0091841220855713,0.000950861519845507
3,-0.019996377654917907,0.026967025383331622,1.0091841220855713,1.009281039237976,0.001041669613437326
4,-0.02009547943282186,0.028693802189752277,1.009281039237976,1.009397268295288,0.0011305037268400705
5,-0.020184004181108994,0.027163781742049274,1.009397268295288,1.0096795558929443,0.0010600337466245872
6,-0.020275422641790275,0.02361988208214157,1.0096795558929443,1.0101006031036377,0.0009069678704774874
7,-0.020368700055244604,0.018991024585466264,1.0101006031036377,1.0106022357940674,0.000738280481556626
8,-0.02046880266279083,0.014141560404394068,1.0106022357940674,1.0111390352249146,0.0006013578559424149
9,-0.020576185766258304,0.009553670338023661,1.0111390352249146,1.0116796493530273,0.0005099175402107131
10,-0.020691481369489173,0.005427383167917061,1.0116796493530273,1.012210726737976,0.0004598885950814122
11,-0.020814736068664574,0.0017614921895910845,1.012210726737976,1.0127308368682861,0.0004414612429703205
12,-0.020945995101607995,-0.0015470004254609729,1.0127308368682861,1.0132458209991455,0.0004461364961463994
13,-0.021085333015099517,-0.004628652473670136,1.0132458209991455,1.0137639045715332,0.00046876269443891155
14,-0.021232895935830554,-0.007597543279929909,1.0137639045715332,1.0142927169799805,0.0005071596090167626
15,-0.02138889761926488,-0.010533044268061125,1.0142927169799805,1.0148382186889648,0.0005610125124095196
16,-0.021553592828080115,-0.013479471501531951,1.0148382186889648,1.0154039859771729,0.0006308296250014134
17,-0.02172725452543456,-0.016454426486468665,1.0154039859771729,1.0159919261932373,0.0007172804777030275
18,-0.02191015287778253,-0.01945963921597166,1.0159919261932373,1.0166029930114746,0.0008208756797944427
19,-0.022102550609421012,-0.022490219217181993,1.0166029930114746,1.0172373056411743,0.0009419050448456637
20,-0.02230469625915865,-0.02554084052734299,1.0172373056411743,1.0178954601287842,0.001080569972972869
21,-0.022516833182147478,-0.02860905341037733,1.0178954601287842,1.0185775756835938,0.0012370812767044195
22,-0.02273920282141928,-0.03169591041793689,1.0185775756835938,1.0192842483520508,0.0014118202988793634
23,-0.02297204770125072,-0.03480559765422649,1.0192842483520508,1.0200164318084717,0.001605384733030319
