period,inflation_gap,output_gap,lagged_policy_rate_gap,action,loss
0,-0.019737170630000023,0.03096444537982,1.0000938526302,1.0040552616119385,0.001550347738377991
1,-0.01977780335209034,0.028582987170878545,1.0040552616119385,1.0047860145568848,0.0011224662533113254
2,-0.019835766935474952,0.026342836743081573,1.0047860145568848,1.0050418376922607,0.001006857450530443
3,-0.019878182169640546,0.029307850490508852,1.0050418376922607,1.005131721496582,0.0011529064033195843
4,-0.01993223545011924,0.031698092001812284,1.005131721496582,1.0052247047424316,0.0012836664356886273
5,-0.019981600904222185,0.030870141752240347,1.0052247047424316,1.0053396224975586,0.0012400519232707912
6,-0.020031823051839925,0.02798717893540545,1.0053396224975586,1.005490779876709,0.001092624587708218
7,-0.020082210980213455,0.024071602795354467,1.005490779876709,1.0056816339492798,0.0009151617413973433
8,-0.020135499555353986,0.019974792600410563,1.0056816339492798,1.0059021711349487,0.0007584135018580464
9,-0.020192067673679093,0.016179422402153747,1.0059021711349487,1.0061269998550415,0.0006397139634733274
10,-0.020252282126340893,0.012880150237538059,1.0061269998550415,1.0063363313674927,0.0005574498134691636
11,-0.020316081023074917,0.010074239157324359,1.0063363313674927,1.0065233707427979,0.0005030441584032933
12,-0.020383352049961,0.007660461362907037,1.0065233707427979,1.0066901445388794,0.00046786929652381255
13,-0.02045395903694902,0.005511242898827211,1.0066901445388794,1.006839632987976,0.00044565937886137006
14,-0.02052777233319092,0.003516345896141294,1.006839632987976,1.0069725513458252,0.0004326888609027032
15,-0.020604658778583085,0.0016011470061557272,1.0069725513458252,1.0070865154266357,0.0004270929697695209
16,-0.020684455494431875,-0.00027251852851528234,1.0070865154266357,1.0071780681610107,0.00042807718051386196
17,-0.02076695403142481,-0.0021150291928080447,1.0071780681610107,1.0072431564331055,0.00043526904391651095
18,-0.020851894840909324,-0.003919969665744052,1.0072431564331055,1.0072795152664185,0.00044832684394431973
19,-0.020938981978925852,-0.005674144739469316,1.0072795152664185,1.0072863101959229,0.00046675714878258645
20,-0.021027906996354373,-0.0073640690493803965,1.0072863101959229,1.0072649717330933,0.0004899030780914834
21,-0.021118367517796832,-0.00897969746330527,1.0072649717330933,1.007218360900879,0.0005170120359161227
22,-0.02121008848494821,-0.010515323317450812,1.007218360900879,1.0071500539779663,0.0005473218491949751
23,-0.02130282316015064,-0.011969162120912645,1.0071500539779663,1.0070642232894897,0.0005801237793085463
