evaluation_env,loss_function,scenario_id,policy_name,algo,historical_loss,stochastic_loss
svar,artificial,beta_097,ppo_svar_artificial_beta_097_phase15,ppo,62.81802926968959,51.15388024872677
svar,artificial,beta_097,td3_svar_artificial_beta_097_phase15,td3,60.66700750837179,53.34778423051565
svar,artificial,beta_097,sac_svar_artificial_beta_097_phase15,sac,60.14670316917814,43.795417229790644
svar,artificial,lambda_art_output_high,ppo_svar_artificial_lambda_art_output_high_phase15,ppo,140.3478886574697,176.80309072472429
svar,artificial,lambda_art_output_high,td3_svar_artificial_lambda_art_output_high_phase15,td3,135.79168369176304,178.83219604153058
svar,artificial,lambda_art_output_high,sac_svar_artificial_lambda_art_output_high_phase15,sac,128.01644160958938,149.40367490277626
svar,revealed,beta_097,ppo_svar_revealed_beta_097_phase15,ppo,223.9858096545257,393.3917075752167
svar,revealed,beta_097,td3_svar_revealed_beta_097_phase15,td3,188.8453359477019,179.28083876417602
svar,revealed,beta_097,sac_svar_revealed_beta_097_phase15,sac,115.41606404961813,102.570281026268
svar,revealed,lambda_rev_smooth_down,ppo_svar_revealed_lambda_rev_smooth_down_phase15,ppo,354.7575761025662,558.9558120939981
svar,revealed,lambda_rev_smooth_down,td3_svar_revealed_lambda_rev_smooth_down_phase15,td3,146.28883422478717,216.00833167378946
svar,revealed,lambda_rev_smooth_down,sac_svar_revealed_lambda_rev_smooth_down_phase15,sac,120.5052604813568,174.65032517993427
ann,artificial,beta_097,ppo_ann_artificial_beta_097_phase15,ppo,42.08671188485596,31.356080750188315
ann,artificial,beta_097,td3_ann_artificial_beta_097_phase15,td3,46.434339458007585,38.364119430745795
ann,artificial,beta_097,sac_ann_artificial_beta_097_phase15,sac,58.69320054861069,42.700850959004846
ann,artificial,lambda_art_output_high,ppo_ann_artificial_lambda_art_output_high_phase15,ppo,171.62302822130346,145.31051648017595
ann,artificial,lambda_art_output_high,td3_ann_artificial_lambda_art_output_high_phase15,td3,123.65943705295459,112.41925299115057
ann,artificial,lambda_art_output_high,sac_ann_artificial_lambda_art_output_high_phase15,sac,168.04997492219263,165.39344433994896
ann,revealed,beta_097,ppo_ann_revealed_beta_097_phase15,ppo,302.65548350397,421.079515861657
ann,revealed,beta_097,td3_ann_revealed_beta_097_phase15,td3,129.31776604305588,119.97973247656911
ann,revealed,beta_097,sac_ann_revealed_beta_097_phase15,sac,117.60661873040617,112.2315335246373
ann,revealed,lambda_rev_smooth_down,ppo_ann_revealed_lambda_rev_smooth_down_phase15,ppo,417.41461752437436,547.742716652838
ann,revealed,lambda_rev_smooth_down,td3_ann_revealed_lambda_rev_smooth_down_phase15,td3,208.2717436599694,233.9485732011777
ann,revealed,lambda_rev_smooth_down,sac_ann_revealed_lambda_rev_smooth_down_phase15,sac,204.20016736675228,231.7931179613564
