policy_name,training_env,loss_function,scenario_id,algo,seed,update,mean_episode_reward_in_rollout,rollout_clip_rate,rollout_mean_abs_action,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate,step
ppo_svar_artificial_lambda_art_output_high_phase15,svar,artificial,lambda_art_output_high,ppo,43,0.0,-271.49916748031245,0.0,3.123798334505409,-207.61681763297022,138.12539442985258,0.0,
ppo_svar_artificial_lambda_art_output_high_phase15,svar,artificial,lambda_art_output_high,ppo,43,10.0,-272.9110727030372,0.0,3.127903180429712,-173.5991030081879,118.39095836400432,0.0,
ppo_svar_artificial_lambda_art_output_high_phase15,svar,artificial,lambda_art_output_high,ppo,43,20.0,-249.76186683993845,0.0,3.155959053663537,-198.1892874165301,137.61625553073085,0.0,
ppo_svar_artificial_lambda_art_output_high_phase15,svar,artificial,lambda_art_output_high,ppo,43,30.0,-238.3914127975597,0.0,3.2963297204114497,-181.83592168646987,126.99546779373665,0.0,
ppo_svar_artificial_lambda_art_output_high_phase15,svar,artificial,lambda_art_output_high,ppo,43,40.0,-206.19024352661287,0.0,3.716694892034866,-200.99992462829417,143.0425872301974,0.0,
ppo_svar_artificial_lambda_art_output_high_phase15,svar,artificial,lambda_art_output_high,ppo,43,50.0,-233.81484327430107,0.0,4.15200675453525,-224.58072155896156,153.3507072161768,0.0,
ppo_svar_artificial_lambda_art_output_high_phase15,svar,artificial,lambda_art_output_high,ppo,43,60.0,-236.64161891458926,0.0,4.1568542084423825,-233.07346116314056,156.747130874155,0.0,
ppo_svar_artificial_lambda_art_output_high_phase15,svar,artificial,lambda_art_output_high,ppo,43,70.0,-239.07698904119957,0.0,4.146898072911426,-204.7525369480627,138.46647754329584,0.0,
ppo_svar_artificial_lambda_art_output_high_phase15,svar,artificial,lambda_art_output_high,ppo,43,80.0,-223.44349735699632,0.0,3.9336322114104405,-172.33587535086832,115.73578075725457,0.0,
ppo_svar_artificial_lambda_art_output_high_phase15,svar,artificial,lambda_art_output_high,ppo,43,90.0,-224.92842064338018,0.0,3.988230138551444,-204.03613365000737,135.3091207155853,0.0,
