priority,model_id,policy_name,rule_family,inflation_coeff,output_coeff,lagged_rate_coeff,runner_path,patched_model_path,summary_path,prepared_only
1,US_CPS10,US_CPS10_baseline,external_baseline,0.0,0.0,0.0,outputs\phase16\mmb_candidate_work\US_CPS10\US_CPS10_baseline\run_US_CPS10_US_CPS10_baseline.m,outputs\phase16\mmb_candidate_work\US_CPS10\US_CPS10_baseline\US_CPS10_rep1.mod,outputs\phase16\mmb_candidate_work\US_CPS10\US_CPS10_baseline\summary.csv,True
1,US_CPS10,empirical_taylor_rule,empirical_rule,0.1931728114825275,0.2657685748665041,0.8691997672478173,outputs\phase16\mmb_candidate_work\US_CPS10\empirical_taylor_rule\run_US_CPS10_empirical_taylor_rule.m,outputs\phase16\mmb_candidate_work\US_CPS10\empirical_taylor_rule\US_CPS10_rep1.mod,outputs\phase16\mmb_candidate_work\US_CPS10\empirical_taylor_rule\summary.csv,True
1,US_CPS10,td3_benchmark_transfer,benchmark_transfer,0.968164929181337,1.178277175694704,0.4171051334440707,outputs\phase16\mmb_candidate_work\US_CPS10\td3_benchmark_transfer\run_US_CPS10_td3_benchmark_transfer.m,outputs\phase16\mmb_candidate_work\US_CPS10\td3_benchmark_transfer\US_CPS10_rep1.mod,outputs\phase16\mmb_candidate_work\US_CPS10\td3_benchmark_transfer\summary.csv,True
1,US_CPS10,sac_benchmark_transfer,benchmark_transfer,1.1735575905740256,1.0213923824280504,0.3966722744554282,outputs\phase16\mmb_candidate_work\US_CPS10\sac_benchmark_transfer\run_US_CPS10_sac_benchmark_transfer.m,outputs\phase16\mmb_candidate_work\US_CPS10\sac_benchmark_transfer\US_CPS10_rep1.mod,outputs\phase16\mmb_candidate_work\US_CPS10\sac_benchmark_transfer\summary.csv,True
1,US_CPS10,td3_svar_direct,svar_direct,1.5961245323496174,1.1673078594796595,-0.0587375161838392,outputs\phase16\mmb_candidate_work\US_CPS10\td3_svar_direct\run_US_CPS10_td3_svar_direct.m,outputs\phase16\mmb_candidate_work\US_CPS10\td3_svar_direct\US_CPS10_rep1.mod,outputs\phase16\mmb_candidate_work\US_CPS10\td3_svar_direct\summary.csv,True
1,US_CPS10,sac_svar_direct,svar_direct,1.5286326746986068,0.5722431752571063,0.2262155273747335,outputs\phase16\mmb_candidate_work\US_CPS10\sac_svar_direct\run_US_CPS10_sac_svar_direct.m,outputs\phase16\mmb_candidate_work\US_CPS10\sac_svar_direct\US_CPS10_rep1.mod,outputs\phase16\mmb_candidate_work\US_CPS10\sac_svar_direct\summary.csv,True
1,US_CPS10,sac_svar_revealed_direct,svar_revealed_direct,0.0678741432465723,0.0509750434082332,0.9307229868470568,outputs\phase16\mmb_candidate_work\US_CPS10\sac_svar_revealed_direct\run_US_CPS10_sac_svar_revealed_direct.m,outputs\phase16\mmb_candidate_work\US_CPS10\sac_svar_revealed_direct\US_CPS10_rep1.mod,outputs\phase16\mmb_candidate_work\US_CPS10\sac_svar_revealed_direct\summary.csv,True
2,US_RA07,US_RA07_baseline,external_baseline,0.0,0.0,0.0,outputs\phase16\mmb_candidate_work\US_RA07\US_RA07_baseline\run_US_RA07_US_RA07_baseline.m,outputs\phase16\mmb_candidate_work\US_RA07\US_RA07_baseline\replication_code.mod,outputs\phase16\mmb_candidate_work\US_RA07\US_RA07_baseline\summary.csv,True
2,US_RA07,empirical_taylor_rule,empirical_rule,0.1931728114825275,0.2657685748665041,0.8691997672478173,outputs\phase16\mmb_candidate_work\US_RA07\empirical_taylor_rule\run_US_RA07_empirical_taylor_rule.m,outputs\phase16\mmb_candidate_work\US_RA07\empirical_taylor_rule\replication_code.mod,outputs\phase16\mmb_candidate_work\US_RA07\empirical_taylor_rule\summary.csv,True
2,US_RA07,td3_benchmark_transfer,benchmark_transfer,0.968164929181337,1.178277175694704,0.4171051334440707,outputs\phase16\mmb_candidate_work\US_RA07\td3_benchmark_transfer\run_US_RA07_td3_benchmark_transfer.m,outputs\phase16\mmb_candidate_work\US_RA07\td3_benchmark_transfer\replication_code.mod,outputs\phase16\mmb_candidate_work\US_RA07\td3_benchmark_transfer\summary.csv,True
