update,mean_episode_reward_in_rollout,eval_mean_reward,eval_mean_discounted_loss
0,-56.13383385591226,-51.495673161729165,38.63851244338948
1,-40.88078945935767,-53.837864377183074,40.42028074742868
2,-53.91818858760933,-55.203496032902684,41.69666514756196
3,-61.009811040866516,-56.94890428987554,43.1562592516456
4,-57.11212730769653,-56.00000524131304,42.487615282632405
5,-47.123387494127904,-55.29288134583354,41.880946814515305
6,-42.42931314252661,-54.75997541469987,41.56392213782093
7,-43.96888331911585,-53.683889957794044,40.9203743623342
8,-50.45089293856954,-57.212139796860605,43.678080292966875
9,-42.69889273753566,-58.38322636252148,44.710001192632234
10,-35.33238465525081,-59.10262505356715,45.42682710397046
11,-43.896608635219025,-57.48356231603129,44.19421957269167
12,-38.80003367383817,-56.511380817603175,43.797606897194704
13,-43.71728087434579,-53.458760694316744,41.411334493181606
14,-47.27245502827843,-53.152304807689454,41.31422989269828
15,-40.30093379590284,-53.95392556393915,41.925712020051684
16,-38.18671527768552,-55.14103605929548,43.0852502673622
17,-43.08917734849422,-54.027477001548164,42.326711239738515
18,-47.036240496917145,-54.17884007888586,42.500313001179585
19,-44.0555557783356,-53.9354124630328,42.3810741582087
20,-56.273410356237015,-58.687390738025805,46.03744011851353
21,-36.52527402284707,-57.95917303237766,45.272648768406945
22,-36.37511313678043,-62.006369953063505,48.14919385806977
23,-39.56310865655342,-59.46752379730989,46.35177148427593
24,-51.51528363036758,-56.709941059697485,44.29319606622665
25,-54.53843939049894,-54.51570413494935,42.739015377846926
26,-32.78955489037444,-52.412805036656096,40.888806367339235
27,-52.75862412856698,-50.940737383051534,39.68141264122099
28,-42.01978014756294,-51.10742330367078,39.76649864391832
29,-40.63783568737549,-50.78650190470304,39.52199776135249
30,-51.86731999575367,-52.01149490065416,40.508422052152966
31,-49.1130982880113,-52.49696021665556,40.77723951458258
32,-44.23380546780159,-49.34569279587922,38.28049050890866
33,-49.18691227410185,-49.8382095181399,38.57767718573411
34,-50.271181645181954,-48.28892373963833,37.39632095485413
35,-43.736373721104265,-47.9642811866513,37.22168482615398
36,-35.54499016163512,-47.52696981757214,36.940258946708724
37,-35.68874651872419,-46.593770890089466,36.08212993746238
38,-48.98624039682867,-46.85042346744214,36.22323852308701
39,-51.814438412988714,-46.91020125580872,36.2308277079287
40,-39.691847546530106,-45.67344565925449,35.07718320440613
41,-48.45150016390454,-46.04409751633714,35.43268235823567
42,-40.48273235831377,-46.724711239849995,35.87264329142365
43,-37.13337682232017,-46.89577765308994,36.02407398643026
44,-54.05360820449112,-43.236017257468454,33.33823894856616
45,-45.65749111006704,-42.652514191068484,33.02966405496555
46,-40.227300564040384,-39.4080038664062,30.689156209260045
47,-48.948924062422876,-38.49890961157802,29.979995505848084
48,-40.27059039223334,-38.802914185738906,30.225554992403705
49,-43.54773285744719,-38.04999633570045,29.59285231524058
50,-37.7833663233358,-39.263743817556225,30.57850335092465
51,-60.23939501832717,-39.34188435948777,30.67584328310832
52,-62.970728250213455,-40.38286864604817,31.281186595116548
53,-50.38790149347615,-40.003971993537945,31.043109566045715
54,-50.60733273754237,-37.87900374447946,29.344536281003474
55,-39.83653314492507,-36.28028363317045,28.102849487734925
56,-38.18908605650914,-36.330980745260455,28.211009874935808
57,-54.09604662438514,-36.464750827716436,28.25985871117247
58,-42.33291737453757,-40.052458654725044,31.129835840620075
59,-38.19543422878208,-40.303544635773456,31.1761062335502
60,-45.84003584526532,-39.816720947379416,30.651675918715625
61,-44.705003900313805,-40.2642544545386,31.001692396321186
62,-40.27867810558951,-39.756033106822365,30.58400739610515
63,-44.846453513091554,-39.77025117601962,30.586759155057923
64,-43.24727204901471,-39.837503897286894,30.631548255332316
65,-47.370735939880134,-39.66133960730634,30.42332758548729
66,-39.98060374172613,-42.33239596118367,32.61573410110845
67,-46.021682076609686,-42.8514429348727,33.11365758005207
68,-41.10993913144806,-41.705993110525036,32.20219148012267
69,-38.4480688541357,-42.88495066076405,33.09959125629502
70,-45.22795639602194,-43.0046767604199,33.22108485023934
71,-46.380744084326864,-43.72197835933861,33.78303857900031
72,-41.875418835058845,-43.884067757464116,33.8447706273085
73,-34.005546874959016,-45.78483790616345,35.21874505227914
74,-42.176028071749904,-46.68092428612518,35.74485568002694
75,-44.30713313186957,-46.702523049070294,35.79046378675773
76,-45.80881973986571,-46.57990606418989,35.5857999102654
77,-37.85449945916488,-48.709079908238486,37.54280951255298
78,-44.291219040984224,-49.83060834109608,38.27451732422571
79,-50.97505025982187,-50.63678871316508,38.900420046769604
80,-51.78299801159707,-49.66725171369719,38.02386850704432
81,-34.9227667421435,-48.98478737885201,37.70329026380849
82,-50.97445712163552,-45.977290472100755,35.2557603575892
83,-33.788071254492536,-45.54257734581795,34.96841661710189
84,-31.78238049697604,-45.77226327384539,35.07361823025631
85,-48.75359390348365,-46.45782510112796,35.64062898569415
86,-31.761985672352125,-46.756949365784884,35.97386884009594
87,-39.566911060063816,-46.5300760620485,35.77461912025198
88,-41.25733290686378,-46.827117757800295,36.01550799452436
89,-41.09537394405578,-46.581376411576876,35.82473676344372
90,-53.552281189076766,-43.28265905176553,33.30962527635006
91,-34.46785519909935,-42.952701847484526,32.928481575225696
92,-38.84201998707621,-43.480423494343796,33.40143035737225
93,-42.37836269188861,-42.117463371125744,32.38612371631064
94,-36.51911621829008,-43.59948962826491,33.551691536405954
95,-35.999073613040146,-43.57160503242693,33.49490811179476
96,-37.273070781695175,-44.40693312843052,34.1434696385212
97,-44.64833985890712,-42.84893742958457,33.02533665077468
98,-41.35582987896069,-44.63201456423953,34.26606479717933
99,-41.219330961850574,-44.79217559934769,34.45380230718053
100,-41.617296893113284,-45.24655119730908,34.8742361895108
101,-44.02039651597309,-43.64119916868092,33.31303659761003
102,-49.760667191457756,-42.517730139836,32.623831338230595
103,-51.99205264463893,-41.35254003031614,31.72134753832658
104,-37.57954810155615,-41.93087886412863,32.17520260967692
105,-51.921307068703314,-41.659750624265186,31.73915953398775
106,-29.517280933627042,-42.51045953624807,32.22926938049112
107,-37.70189776765363,-44.38890124229329,33.32319387907231
108,-42.33826467358384,-43.37010962105754,32.51810220287289
109,-32.59447305115747,-42.84724911833664,32.15379187015835
110,-34.49662417614725,-43.51047227566545,32.83499018575362
111,-47.965314975917494,-42.95644114748524,32.39656571123438
112,-49.939846092104,-43.2249423120312,32.69396928119447
113,-49.56154499676827,-43.641398128362916,32.9188065885643
114,-51.092287431506364,-44.45375732667788,33.46091793072686
115,-32.25969720212985,-44.79824477759029,33.61932203097995
116,-39.06217132392906,-45.42617451445051,33.831328825976236
117,-52.45995794317563,-46.79740306074141,35.11829771894083
118,-42.80316223768418,-45.96495546207631,34.633673863948445
119,-42.725785301029546,-45.49333217853515,34.348097260140946
