algo,seed,update,mean_episode_reward_in_rollout,rollout_clip_rate,rollout_mean_abs_action,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate,env_id,group,tier,step
ppo,29,0.0,-175.05712425388123,0.0,2.0904731684859144,-72.30947197538451,54.59784342412965,0.0,asymmetric_medium,asymmetric,medium,
ppo,29,20.0,-156.46090470317003,0.0,2.018555686427135,-65.10309332236633,50.549315703129714,0.0,asymmetric_medium,asymmetric,medium,
ppo,29,40.0,-148.7531617788955,0.0,2.0093135583174444,-50.19013372787547,38.58859353324819,0.0,asymmetric_medium,asymmetric,medium,
ppo,29,60.0,-124.73161258657328,0.0,1.834412043825978,-44.1106135933759,34.090357224154715,0.0,asymmetric_medium,asymmetric,medium,
ppo,29,80.0,-118.02084430401891,0.0,1.8641856642016137,-44.82823181510888,34.431799654850735,0.0,asymmetric_medium,asymmetric,medium,
ppo,29,100.0,-97.79636159898817,0.0,1.8322282889967028,-35.09442651640991,27.02055005797604,0.0,asymmetric_medium,asymmetric,medium,
ppo,29,119.0,-82.25106314076456,0.0,1.6865659007180511,-35.84869187448258,27.822649154353293,0.0,asymmetric_medium,asymmetric,medium,
ppo,43,0.0,-168.6810790142021,0.0,1.9623257359016861,-72.58913579674768,54.79425667437502,0.0,asymmetric_medium,asymmetric,medium,
ppo,43,20.0,-150.1646334261471,0.0,1.9953208763199655,-66.68132922019328,51.6765780383134,0.0,asymmetric_medium,asymmetric,medium,
ppo,43,40.0,-177.62871095210676,0.0,1.9873729197497596,-49.94247079915321,38.398259587073724,0.0,asymmetric_medium,asymmetric,medium,
ppo,43,60.0,-131.62185769298253,0.0,1.8547318574405836,-42.70795500111737,33.03927175754565,0.0,asymmetric_medium,asymmetric,medium,
ppo,43,80.0,-129.13176123842084,0.0,1.8239673498301272,-42.96252982905753,33.090588546204444,0.0,asymmetric_medium,asymmetric,medium,
ppo,43,100.0,-98.65910789740445,0.0,1.6852432525688528,-33.41993366630698,25.759481199562156,0.0,asymmetric_medium,asymmetric,medium,
ppo,43,119.0,-92.29324976779334,0.0,1.7383116450382659,-36.00605885817545,27.914414485759103,0.0,asymmetric_medium,asymmetric,medium,
ppo,7,0.0,-200.5380620783702,0.0,2.1677560474633992,-72.1367671432225,54.47013616089031,0.0,asymmetric_medium,asymmetric,medium,
ppo,7,20.0,-137.74034132563096,0.0,2.0153655640588113,-63.82772136796314,49.61290462311832,0.0,asymmetric_medium,asymmetric,medium,
ppo,7,40.0,-148.57845668311222,0.0,1.8956103754526339,-49.25358498525212,37.89626278163728,0.0,asymmetric_medium,asymmetric,medium,
ppo,7,60.0,-142.74705477364995,0.0,1.9653077756447601,-43.75429889605617,33.813560948865096,0.0,asymmetric_medium,asymmetric,medium,
ppo,7,80.0,-141.0606368899036,0.0,1.9055074025327485,-43.495316909469295,33.64525416018088,0.0,asymmetric_medium,asymmetric,medium,
ppo,7,100.0,-98.27556699495815,0.0,1.7300590090580954,-35.2829480712187,27.09280868448802,0.0,asymmetric_medium,asymmetric,medium,
ppo,7,119.0,-79.11794096452444,0.0,1.6952412570440174,-35.30256760151633,27.41088928017231,0.0,asymmetric_medium,asymmetric,medium,
sac,29,,,,,-27.707224626718606,22.047969582797883,0.0,asymmetric_medium,asymmetric,medium,3000.0
sac,29,,,,,-26.3472442885637,20.793358834492768,0.0,asymmetric_medium,asymmetric,medium,6000.0
sac,29,,,,,-26.59263549548134,21.016326703169014,0.0,asymmetric_medium,asymmetric,medium,9000.0
sac,43,,,,,-28.68014901361397,22.794935335738664,0.0,asymmetric_medium,asymmetric,medium,3000.0
sac,43,,,,,-28.13106860056969,22.150513179042477,0.0,asymmetric_medium,asymmetric,medium,6000.0
sac,43,,,,,-26.875714023327824,21.212889313395145,0.0,asymmetric_medium,asymmetric,medium,9000.0
sac,7,,,,,-27.798678091127087,22.135579592001267,0.0,asymmetric_medium,asymmetric,medium,3000.0
sac,7,,,,,-28.133796199914585,22.155839154055418,0.0,asymmetric_medium,asymmetric,medium,6000.0
