equation,target,feature_set,stage_name,stage_priority,nobs,regressor_count,regressors,hidden_layer_sizes,activation,solver,alpha,learning_rate_init,seed,train_mse,val_mse,test_mse,full_sample_mse,residual_std_full_sample,n_iter
ann_inflation_tuned,inflation,same_input,stage1_same_input_structure,1,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(2,)",tanh,lbfgs,0.0001,0.001,0,0.016681684911794913,0.03978596350136048,0.1624112570100853,0.042656123479157364,0.20062980986315979,198
ann_inflation_tuned,inflation,same_input,stage1_same_input_structure,1,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(2,)",tanh,lbfgs,0.0001,0.001,2,0.015282766250243773,0.04620531148789495,0.27288398994397367,0.059671038393533174,0.23357172145006966,297
ann_inflation_tuned,inflation,same_input,stage1_same_input_structure,1,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(2,)",tanh,lbfgs,0.0001,0.001,1,0.0170534548826707,0.05916961304538376,0.24562144549602336,0.05869717007898849,0.2302028336237399,172
ann_inflation_tuned,inflation,same_input,stage1_same_input_structure,1,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3,)",tanh,lbfgs,0.0001,0.001,0,0.00784484002163938,0.06572828619910363,0.2224324728202405,0.049763467556418674,0.22102583711829024,748
ann_inflation_tuned,inflation,same_input,stage1_same_input_structure,1,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3,)",tanh,lbfgs,0.0001,0.001,1,0.009080034632641317,0.07165521985779666,0.07291914212104876,0.028528387357804823,0.16213820269455342,486
ann_inflation_tuned,inflation,same_input,stage1_same_input_structure,1,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(4,)",tanh,lbfgs,0.0001,0.001,1,0.005638177282054972,0.10727267785398459,0.49540975713132923,0.09662372811608634,0.28820101744654214,488
ann_inflation_tuned,inflation,same_input,stage1_same_input_structure,1,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3, 2)",tanh,lbfgs,0.0001,0.001,0,0.005075375467803134,0.129480165115906,0.1712131501331016,0.049774231516018716,0.224439836775288,791
ann_inflation_tuned,inflation,same_input,stage1_same_input_structure,1,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(4,)",tanh,lbfgs,0.0001,0.001,0,0.005558526671285856,0.13852584384158353,0.09757030058029496,0.04017069452964074,0.2017099819900681,484
ann_inflation_tuned,inflation,same_input,stage1_same_input_structure,1,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3,)",tanh,lbfgs,0.0001,0.001,2,0.01243403267409755,0.15949084325261864,0.16022274831991665,0.05779488286245758,0.24076383099455306,670
ann_inflation_tuned,inflation,same_input,stage1_same_input_structure,1,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3, 2)",tanh,lbfgs,0.0001,0.001,1,0.007709976255656825,0.1661275740806171,0.13691573245139435,0.051959723028071864,0.22069764802192993,2189
ann_inflation_tuned,inflation,same_input,stage1_same_input_structure,1,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(4,)",tanh,lbfgs,0.0001,0.001,2,0.00585084681146391,0.2916500358510368,0.216926853622905,0.08229318463469684,0.2861524717637772,569
ann_inflation_tuned,inflation,same_input,stage1_same_input_structure,1,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3, 2)",tanh,lbfgs,0.0001,0.001,2,0.007519780908386048,0.5640306467746315,0.16632937435692915,0.11756908234143044,0.3357492482700582,614
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(2,)",relu,lbfgs,0.0001,0.001,1,0.02483634652134387,0.03124355586106914,0.06542831332665262,0.03206698900519525,0.17927023835925265,40
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(2,)",relu,lbfgs,0.001,0.001,1,0.024836422537902594,0.03127787497696637,0.06554653508202289,0.03209050945839246,0.17932784512641217,42
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3, 2)",relu,lbfgs,0.001,0.001,1,0.023614482265942933,0.035593905380237024,0.0474586237604973,0.029125799898073464,0.17169731032211633,100
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(2,)",tanh,lbfgs,0.001,0.001,0,0.01583210588429453,0.037572211456118686,0.1309277265096752,0.03688375606847989,0.18735579776184308,411
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(2,)",tanh,lbfgs,0.0001,0.001,0,0.016681684911794913,0.03978596350136048,0.1624112570100853,0.042656123479157364,0.20062980986315979,198
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(2,)",tanh,lbfgs,0.001,0.001,1,0.015762716840791932,0.04613330743111257,0.24192743230132907,0.05522968700246236,0.22492235141555164,382
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(4,)",relu,lbfgs,0.001,0.001,1,0.010791822479240633,0.048808698753192825,0.08334143359308449,0.027802051308132337,0.1661412395235312,314
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(2,)",tanh,lbfgs,0.0001,0.001,1,0.0170534548826707,0.05916961304538376,0.24562144549602336,0.05869717007898849,0.2302028336237399,172
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3,)",tanh,lbfgs,0.0001,0.001,0,0.00784484002163938,0.06572828619910363,0.2224324728202405,0.049763467556418674,0.22102583711829024,748
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(2,)",tanh,adam,0.0001,0.001,0,0.2505852763306586,0.06616488991351897,0.1715221535246547,0.2100493518347903,0.3789847420960082,2500
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(2,)",tanh,adam,0.001,0.001,0,0.250597384777403,0.06617028859800433,0.17154365387743867,0.21006187291903947,0.3789922691977669,2500
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3, 2)",relu,adam,0.0001,0.001,0,0.11499144564346013,0.07060489780788448,0.053726632526931495,0.09873739011236718,0.31611197572319394,855
